comment,coment_en
beraninya sm cwek,How dare you go
ig nya si baji ban kaleng gak ada apa,"The IG is the tire tire, there is nothing"
tolong bang,"Please, bro"
hih nyah,hih nyah
wah alwi siap nerima sanksi sosial dari pelampiasan netizen di banten khususnya selamat ya buat kamu,"Wow Alwi is ready to accept social sanctions from the venting of netizens in Banten, especially congratulations for you"
aya wartawan pw,Aya PW reporter
waduh nek temen dlu mabar kita ko jadi gini ya,"Wow, my friend is a friend, how come we are like this"
belakangan ini pandeglang serang lagi viral terus nih yg perempuan korupsi buat modal skincare dan yg laki punya bini banyak suka hiburan malam maluu semoga allah murkanya sama pelaku aja amin,"Lately, Pandeglang attacks again, the viral women are corrupt for skincare capital and those who have a lot of chant like night entertainment, hopefully Allah is the same as the perpetrators Amen"
manusia yang dinafkahi dari duit haram hasilnya melebihi setan,Humans who are supported from illegal money are exceeding the devil
saya tunggu klarifikasi dari rektor krn ada nama kampus disitu slide terakhir terimakasih netizen yg budiman,I am waiting for clarification from the Chancellor because there is a campus name there the last slide thank you netizens who are dear
katanya jaksa sm terdakwa ko online ya masih pandemi kah,"he said the prosecutor's prosecutor was the defendant online, still, he was still Pandemi"
awww jadi hayang nele bentukan lalakina karunya teu payu ka awewe maksa nitah cewe na bertahan ngacaa atu geus goreng benget goreng pamake komo baru jeung goreng eusi dompet mah ulah awewena nu titah bunuh diri dia we paeh dabeweh gunaan wkwkwk karunyaaaaa lebih aneh kana pengadilan anu teu narima laporana,Awww so I was formed by lalakina because teu Payu Ka Awewe Forgive Nyah Girl Na Ngaca Ngaca or Greus Fried Fried Pamake Komo New Jeung Fried Eusi Mah Uklawa Awewena Nu Titah Suicide Dia We Paeh Dabeweh Use Wkwkwk Karyaaaaaa report
pelaku anak pejabat apa min,Actors of Children of Officials Min Min
anak pejabat,official child
ga bsa gw bayangin kalo korban itu adik gw gw sih nekat samperin kerumahnya bawa golok atau pisau daging sabi gw mau tangan atau kakinya aja sih buat pajangan di kamar sama pelernya buat gantungan kalung gw,"I can't imagine that if the victim is my sister, my sister is determined to bring his house to bring a machete or a sabi meat knife I just want his hands or feet to display in the room with the peler for the hangers of my necklace"
nih guys berita yg lagi trending di twitter mahasiwa untirta pelaku dan korban nya,here guys the news that is trending on Twitter students untirta the perpetrators and victims
bu tolonggh ini ada diskriminasi kaya gini harus turun tangan nih bu,"ma'am, please have this discrimination like this, you have to intervene, ma'am"
jeng saha eta duit samilieur na,Jeng Saha Eta Money Samilieur Na
eta kumaha aduuhh,Eta Kumaha Ouch
parah bre lu mh anak orang,bad Bre lu mh son of someone
ada ya anak pejabat tampilannya jamet begitu banyak tingkah eh astaghfirullahhh,there is a child of the official appearance of Jamet so much behavior eh astaghfirullahhh
baca lengkapnya di twitter sejak kecil sudah cbl ngeri amattt,"Read the full on Twitter since childhood, CBL was horrified"
gila sih mal ini,This mall is crazy
gmana nihhh guysss,how come guysss
pendidikan kaya orang iya lo ni brooo klakuan atah,"education rich people, yes, bro, bro, you"
hati hati ya,"Be careful, ok"
anak pejabat nih kayaknya hmm,"This is an official, hmm, hmm"
udah mulai up kasusnya,already started up the case
gmna bang padel,How about Bang Padel
semoga mati,Good luck
pelaku orang panimbangjaya,Panimbangjaya people
izinnn abangkuuuuuu,Permission to Abangkuuuuuu
tanggapanna kmha dak,Response KMHA DAK
cowo gaada otakkkkkkk lo,guy no brainkkkkkkk
kasusnya ini,This case
kudu di ulti,Kudu in Ulti
terimakasih kawan yang sudah lantang menyuarakan keadilan untuk korban keadilan bangsa kita hanya milik penguasa tapi ketika kita kompak menyuarakan samasama membela dan mengambil peran alhamdulilah media menjadi senjata kita kita kawal sampai selesai bantulawan kitabersamakorban,"Thank you friends who have loudly voicing justice for the victims of our nation's justice belonging to the authorities but when we are compact, voicing together to defend and take the role of Alhamdulilah the media becomes our weapon we guard until the completion of the Bantulawan Kitabersamakorban"
usut tuntas kasus ini ga ada istilah ank pejabat gaspoll karungin,"Investigate this case, there is no term Gaspoll Karungin official"
tahun berasa kurang puas bngt sedangkan korban trauma dibikin hancur masa depannya dibikin malu diancam bahkan di aniayaya oleh pelaku loh apalagi selama tahun menderitaga kebayang jadi si korban gimana mental yg rusak skrng,"The year feels less satisfied while the victims of trauma made to be destroyed by their future made ashamed to be threatened even in aniayaya by the perpetrators, especially during the year of suffering, the victim is mentally broken"
udah ada bukti chat video perlu bukti apa lagi sih pak ya allah meni dipersulit bapak jaksaa jangan jangan jangan jangan lah,"Already there is proof of chat video, what else need evidence, sir, God, you have complicated the attorney"
pelaku ngarana alwi husen maulana anak kadis dlh pandeglang alm,Perpetrators of Ngarana Alwi Husen Maulana Children's Head of DLH Pandeglang Alm
yes akhirnya di upsudah viral twitterdi spill jaksa nya,"Yes, finally in the Viral Twitterdi spill his prosecutor's viral"
buktiin kalo sila ke itu memang ada,prove that there is a way to go to it
kt saya juga bukan soal mau sama mau tp ini soal kekerasan dan pemerasan aneh ngerti hukum ko berbelit belit banget permasalahin kasus jangan cuma pasal ite aja dong tapi kan ini ada pengancaman dan pemerasan bentar lagi ada video permohonan maafkah kita tunggu,"If I am also not a matter of wanting to want to want to be about violence and strange extortion understand the law, how come the problem is very complicated."
waduh cuman ite jangan sampai hukum ite karena pelaku bisa membela dengan hukum perdata untuk keluarga korban terus lanjutkan masuk ke tuntutan kekerasan,"Wow, only ITE should not be the law of ITE because the perpetrators can defend with civil law for the families of the victims continue to enter into the demands of violence"
jangan kendor bang sekwil kawal sampai tuntas,"Don't be loose, Bang Sekwil guard until it is complete"
yteam meresahkan,Yteam is troubling
alwi husen maulana yatim belagu banyak gayaaa cuih so jagoooan,Alwi Husen Maulana Yatim Belagu Many Stylea Cuih So Jagoooan
inilah mengapa islam melarang sesuatu yg haram masuk kedalam tubuh,This is why Islam forbids something that is haram from entering the body
yaallah rasanya pengen main hakim sendiri tapi sadar kalo mahasiswa fakultas hukum,"Yeah, I feel like you want to play with your own judges but realize that the Faculty of Law Students"
mantab bang kudel tegakkan keadilan,Mantab Bang Kudel Empires Justice
jadi si pelaku ini sudah di tangkap min,So the perpetrator has been arrested min
weh alwi anak nya pejabat harta nya dari masyarakat itu kan anak nya yang bermasalah turun masalahnya ke keluarga nya,"Weh Alwi, his son of his property official from the community, is his child who has the problem down the problem to his family"
katanya pelaku anak kuat dinasti pandeglang yah,he said the perpetrators of the Pandeglang Dynasty are strong
anak mantan kadis dlh boa doelu na loba ngadahar sampah trs ank na jdi runtah,"The child of the former Head of DLH Boa Doelu, Na Loba, is the garbage"
kudu viral heula hukum kuari mah barudak karak serius,Kudu Viral Heula Kuari Mah Barudak Karak Karak
angpun aing mah ie jelema ngisin ngisin ken pandeglang bae,Angpun Aing Mah Ie Jelema Ngisin Ngisin Ken Pandeglang Bae
yang orang pandeglang itu kan,the Pandeglang people right
kudellll bukan sii,Kudellll is not sii
mantap pendampingan oleh advokat dari posisi korban juga penting peran advokat sebagai penegak hukum di posisi ini memastikan mengawal penegak hukum lainnya agar bekerja secara profesional semoga hakim memvonis maksimal terdakwa apabila vonis ringan jaksa harus banding tetap konsisten dan terarah yo mas dalam pendampingan hak hukum korban bravoo,"Steady assistance by advocates from the position of the victim is also important the role of advocates as law enforcers in this position ensures to oversee other law enforcers to work professionally, hopefully the judge sentences the defendant to the maximum if the prosecutor must be appeal to remain consistent and directed to Yo Mas in assisting the legal rights of Bravoo victims"
terus biar nyaho di sel kaya gimna ckckck,then let me nyaho in a cell like gimna ckckck
spill pelakunya,Spill the culprit
apakah ini sodaraan ama riko yg ngebunuh alm alisaaa,Is this a soda of Riko who killed Alm Alisaaa
pasti eta pelakuna goreng patut jeng delaga,Surely Eta Fried Clakuna worth Jeng Delaga
anjaayyy nakk untircoyyyy,Anjaayyy Nakk Untircoyyyy
khawatir gini nih inget ga,"worried like this, remember"
saya sebagai calon ustadz malu melihat tingkah laku beliau,I as a candidate for Ustadz is ashamed to see his behavior
serem amat sih beritanya,so scary
coba bapak bapak pengacara ku yg hebat nih d up,"Try my father's lawyer, my father, is dped"
nih ig nya guysss silahkan silaturahmi,here is the IG guysss please friendship
astagfirallah,Astagfirallah
up,up
ini pelaku nya min,This is the perpetrator min
ulah di bere ampun dak,acting at beroe
pelajaran buat adik perempuan yang lain secintacinta nya kalian sama pacar please jangan tolol dgn terus berada di zona toxic relationship bukan manusia itu mah setan kalian berhak bahagia dgn masa muda kalian yg rugi diri kalian sendiri keluarga yg berjuang susah payah besarkan kalian menanggung malu please be smart ya kalian berhak bahagia dgn cara lain,"lessons for other younger siblings as long as you love your girlfriend please don't stupid by continuing to be in the toxic relationship zone, not humans, you have the right to be happy with your youth who lose yourself the family who struggles is struggling. yes you have the right to be happy in other ways"
mirip kisah siapa ya coba dulu dah paham twiter,"Similar to the story of whose story, try to understand twiter first"
pak hotman lihat pak,Pak Hotman see sir
biasanya viral dulu sih baruuu ada perubahan ea xixixi,Usually the first viral is there any change in EA Xixixi
biadabkomuk kemem susah si,SI SI CREATIVE BADABKOMUK
inisial na ahm menurut ingpoh dia itu anak mantan pejabat yg udah pensiun besok selasa akan ada sidang lagi di pn pandeglang dgn agenda pembacaan dakwaan mudahÂ²an terdakwa hadir,The initials Na AHM according to the ingpoh he was the son of a former official who had retired tomorrow Tuesday there would be another trial at the Pandeglang District Court with the agenda of reading the charges of the defendant to attend
awww takut ma cowonya takut di cikca,Awww afraid that the guy is afraid in Cikca
gila gila yaallah,Crazy yaallah
spill ig pelakunya dong mau silaturahmi,"Spill IG, the culprit, I want to be friendly"
untirta lagi aja,just untirta
cari tahu info nya gue pengen silaturahmi,Find out the info I want to be friendly
gebugan bae lah,Gebugan Bae
kenal kayane mah si a ewin karo wonge,Know Kayane Mah Si A Ewin Karo Wonge
satu fakultas sama kamu,one faculty with you
oh pandeglang wkwkwk,Oh Pandeglang wkwkwk
kasih tanggapan tentang kasus ini,give a response about this case
ingt ka sia aing ma mal,Ingt ka sia aing ma mall
nih min nih orgnya wk,"here is the person, wk"
ya ampun opet,Geez Opet
jangan percaya cwo,Don't believe Cwo
ini pelakunya lur,This is the culprit
kenal ga guluuung giih,know ga guluung giih
wah ada apa sama pandeglang ni,"Wow, what's up with Pandeglang"
ini akunya woy,This is Woy
m dikemanakan uang itu bang kalo boleh saya tau,"M is given the money, bro, if I may know"
hadeh kacau anak muda skrng,hadeh chaotic young people now
astagfirullah ada apa lg ini pandeglang,Astagfirullah What's Lg This Pandeglang
hukum seberat beratnya klo bsa hukuman mati,the law as severe as severe if can be a death sentence
hruhhhh,Hruhhhh
emang kudu lapor netijen aja biar kerjanya pada bener yegak,I really have to report netijen so that it works to the right Yegak
baru keluar goa jadi gatau berita ini kudet bgt aing euyy,"just out of the cave so I don't know this news, I really"
efek sistem,system effect
tolong di bantu kasus ini komandann,please help this case commander
aww,Aww
harus di viralkan dulu baru respon semuanya bertindak,must be violent first and then the response all act
tolong bu jangan biarkan kekayaan berkuasa membungkam kesalahan,please ma'am don't let the ruling wealth silence the mistakes
tahun itu hanya untuk pelanggaran uu ite laporkan lagi tentang ancaman pembunuhan pemerkosaan pemerasan,That year only for violations of the ITE Law reported again about the threat of murder of rape of extortion
bisa ga ngebolehin konser musik tapi yang begini masih bisa lolos only pandeglang,can not allow a music concert but this can still pass only Pandeglang
foto pelaku dan kelbes beesileweran di medsosnya kurang banyak harusnya dibuat kyk kasus risma close up yg banyak di semua medsos biar jd jejak yg abadi sampe nanti pelaku jd aki kalo hukum di negeri ini masi bisa dibeli buat sanksi sosial utk pelaku yg lebih keji,Photos of the perpetrators and kelbes beesileweran in the social media should not be made like a case of Risma close up a lot in all social media so that the traces of the eternal until later the perpetrators will be a battery if the law in this country can still be purchased for social sanctions for more heinous perpetrators
good job lawyer kejar terus dgn pasalÂ² lainnya jgn berhenti di pasal ite aja kami netizen akan terus mempressure sampai kasus ini tuntas,"Good job lawyer continues to chase with other articles don't stop in the ITE article, we netizens will continue to pressure until this case is complete"
padahal nama yg di beri orang tuanya bagus tapi sayang tak sebagus sikap nya yg bejat semoga segera dapat keadilan ya buat korban,"even though the name given by his parents is good but unfortunately it is not as good as his depraved attitude, hopefully it will soon be justice for the victim"
pandeglang gada obat,Pandeglang Gada Drugs
untuk semoga hukum berjalan sebagai mana mestinya yaa oh yaa katanya ada upaya untuk mendamaikan kasus ini yaa tolong klarifikasi nyaa,"For hope that the law runs as it should oh yeah, he said there is an effort to reconcile this case, please clarify"
aw rame nihhhhhh jadinya buat keluarga korban jangan tinggal diam ini bukan soal pencemaran nama baik tapi mental seorang korban dan bukan soal mau sama mau tp ini soal kekerasan dan pemerasan kalian yang mengerti hukum seharusnya lebih paham apalagi punya anakperempuan,Aw Rame Nihhhhhh so for the victim's family not to stay silent this is not a matter of defamation but the mentality of a victim and not a matter of wanting to want but this is a matter of violence and extortion you understand the law should be more understanding let alone have a child
kacauuu orgyg ga berakal,kisauuu orgyg not intelligent
masa mau viral lagi ibu mohon bantuannya untuk dikawal ibu,"how come you want to viral again, mother please help for you to be escorted"
women support women tai kucing perlu digaris bawahi kejadian ini dan sebelumnya terjadi ketika gubernur bupati kepala pengadilan jaksa nya adalah women,Women Support Women Tai Cat needs to be underlined this incident and previously occurred when the Governor of the Regent of the Prosecutor's Court was Women
haha sebagai orang yg tau pelaku kaya apa dan teman saya adalah korban dari kiriman vidio pelaku msi aneh dgn steatment nya yg dividio atas dasar persetujuan dan alwi belum sebar apalg kau sm maungakak jujur pasti org yang dilingkungan alwitanya shbt alwi nya gih jgn jaooh plis pin ini fitnah itu kasian korban,"haha as a person who knows what rich perpetrators and my friends are victims of the shipment of the video of the perpetrators of the strange MSI with his steatment which is dividio on the basis of approval and Alwi is not spreading, if you are honest slander is sorry for the victim"
hukum yang bisa dipercaya di indonesia cuma hukum karma,The law that can be trusted in Indonesia is only the law of karma
bantu dong tolonggg,help please please
memang begitu anak orang kaya pejabat lagunya suka tengil kayak duit bapaknya halal aja kasino dki,"It is so the rich kids of the song officials like to be rhythmic like his father's money, halal, just a Casino of DKI"
tolong bantu pak usung tuntas sampai kehukuman yang seadil adilnya tahun loh bukan waktu yang singkat gimana kondisi psikologis si ceweknya pak tolong cuma kamu yg paling dabest dalam soal peradilan,"Please help Mr. Sir, thoroughly until the fairness is as fair as the fairness of the year is not a short time, how is the psychological condition of the girl, sir, please only you who are the most dabest in the matter of justice"
ayooo kawal kasus ini tadi pagi udh ada persidangan tapi terdakwa dan jaksanya secara online via zoom sedangkan korban secara offline dan ini persidangan berjalan sangat tertutup ada apakah di balik ini jadi greget sama kasus ini dari semalem rame di twitter sampe skrg pun msh trending si alwi,"Ayooo guard this case this morning there was a trial but the defendant and his jacket online via zoom while the victim was offline and this trial went very closed, whether behind this became the same as this case from the night on Twitter until now still trending Si Alwi"
laki kok mukulin wanita sampe sgtunya bukan tandingan mu itu berantem ama laki lg lah laki tanding kalo sebanding,How come the man beats a woman until you are not a match for your fight with a man again if it's comparable
cik atuh ormas nu sok make batu akik kalung tasbeh geura karumpul,Cik Atuh Nu Sok Sok Maka Maki Agate Tasbeh Geura Karump
mohon di beri pelajaran bu,please give a lesson ma'am
up aja muka pelakunya biar kema sanksi sosial,just up the face of the culprit so that there will be social sanctions
dikuliahin bukannya makin bener malah makin gabener,in the lecture instead of getting more and more even more gabener
pandeglang maning pandeglang maning,Pandeglang Maning Pandeglang Maning
beritane ahir ini kok serem yaa,"This is a long time, how come this is scary"
lah klo gini mending matiin aja pelaku bodo amat sma hukum dari pada dia bebas berkeliaran,if this is better to just turn off the very high school actors in high school than he is free to roam
bantu up nya kasihan sekali beritanya,Help the up pity the news
anjing juga ni orang,"dogs too, people"
muka nya kek hewan nya upin ipin si opet,his face is the animal upin ipin the opet
oalah anak untirrrrrrrrr,oalah child untirrrrrrrrrrr
pelaku dikasih makan dr duit apa sih ampe ounya kelakuan begitu,"the perpetrators were given food from money, what the hell was like that"
siapa yg mau jd pacarnya ale,who wants to be his girlfriend ale
bu tolongin bu,"Ma'am please, ma'am"
ijin pak bisa di up kali pak ini udah keterlaluan,permission sir can be up this time sir already gone too far
boleh kali om dibantu,may you be assisted
laiyeee wong sugih kewakehane konon bekasee digean mangan karo duit ore bener jadi anake geh ore bener,Laiyeee Wong Sugih Authority is said to be Bekasee Digean manganese karo money ore is really an anakie geh ore right
bapaknya sudah mninggal ada yg tau ig ibu sma kakaky ngga biar netizen silaturahmi skalian kena mental biar sdikit ksh adil aja kirban kena mental ya pelaku dn jeluarga juga harusnya hayooo ada yg tau ga ig sodara kandungnya wkwkwkw kzlll bngt bacaknyaaa,"His father has left someone who knows IG, Ig, the high school, not so that netizens are friendly to get mentally, so that a little, just be fair, the perpetrators will be mentally hit by the perpetrators, and the perpetrators will also be hosted, there should be someone who knows that the biological biological"
keknya si pelaku ini emang punya banyak link makanya slow aja nanti klo udah jeblos penjara abis di dalem mantep banget itu,"the perpetrator is really a lot of links, so it's just slow when you've been broken down in the prison in the palace very good"
dear netijen baiknya baca thread lengkepnya dulu yaa,dear netijen should read the sticky thread first
kawal terus sampe tuntas,keep the guard until complete
kamu mau jadi pacar nya ale,You want to be his girlfriend Ale
a punten liat kasian banget,A Punten see really sorry
jangan lupa ke pasar badak beli intisari,don't forget to go to the rhino market buy the essence
