media,user_name,mention_name,day,like_comment,comment,cont_of_reply,reply_comment_name,username_reply
infopandeglang,tegarpnca46,@irnadimyati,2 hari,5,h,14,,
infopandeglang,fitri.handayani05_,,2 hari,32,Pengen tau anaknya siapa sih ni orang sampe sidang pertama dan kluarga korban pada enggak boleh hadir bahkan dpet intimidasi.,13,,
infopandeglang,lisnaryu,@alealwiii,2 hari,22,Pelakunya Alwi Husen Maolana D3 Akuntansi 2020 Untirta,13,,
infopandeglang,fseptiansputra,,2 hari,15,"Alwi husen maolana, ngerakeun.",13,,
infopandeglang,putrimey21_,@humaspoldabanten,2 hari,29,Korban Di tolak di persidangan gara2 sodara nya polisi kah?  gila gila nya,12,,
infopandeglang,apriliantideva,@irnadimyati,2 hari,19,"Kenapa soal kasus kaya gini selalu di remehkan? , yg kemaren aja anggota dpr cuma 5 bulan tahanan. Kasus yang sekarang dimainkan. Mana keadilan kota pandeglang yg bisa melindungan perempuan dan anak muda? Tidak adakah? Karna mereka memiliki banyak uang dan titel????",12,,
infoserang,abdurrahman_ghofiqi,,1 hari,17,Cek story saya ada info pelaku,12,,
infopandeglang,d.daeseaa,,2 hari,110,"masih sliweran ie pelakuna cenah anak pejabat, CENAH NYAHH. di twitter tercantum nomor hp si alwi ale bajingan, pas di cek getcont na cnh mah anak sipil, aya nu ngecek di dikti cenah anak akuntansi. ramekeun di twitter dak, udah di RT juga sama partai socmed, bantuan yu bantuan",11,,
infopandeglang,fandiadc,,2 hari,269,"Oknum jaksa pandeglang udah disogok. Susah buat nuntut keadilan, disitu duit yang berbicara. Mungkin kasusnya harus diviralin dulu biar kebongkar semuanya sampai borok oknum2nya juga.",10,,
infoserang,mfdzfrds24_,,1 hari,162,"fyi bapaknya pelaku udh ngga ada (meninggal), mantan pejabat kepala dinas Lingkungan hidup pandeglang.",8,,
infopandeglang,yama_nurrahmat21,@hotmanparisofficial,2 hari,34,"Nyerang mental, nyerang fisik 😢😢 tolong bang",8,,
infopandeglang,mira.dnaa,@alealwiii,2 hari,8,malu malu in ajeeee nihhhh,8,,
infopandeglang,anangma.ruf_,@dery_mubarok,2 hari,0,tolong klarifikasi,8,,
infopandeglang,riobagussatrio,@zatturaa_,2 hari,0,istigfar de yallah jangan gtu ah,8,,
infopandeglang,vinsideee,,1 hari,18,Bawa foto lakinya ke baduy atau ke saketi. Do you know kan maksud gue ?,7,,
infoserang,tanwiruljojo,@alealwiii,1 hari,11,Yg mau mampir ke instagram cowonya  kepada netizen waktu dan tempat di persilahkan,7,,
infoserang,ultramilknotultramen,,1 hari,11,Info gebugin alwi,7,,
netizenserang,rey_adii,,1 hari,4,Cobaa ig pelaku mana min mau silahturahmi,7,,
infopandeglang,akhmadmldn,,2 hari,1,"Tolong min kasih warning, beberapa pasti ada yg ke trigger",7,,
infoserang,vivi_avrily,,1 hari,115,Jaksa pandeglang pelindung pemerkosaan 😂,6,,
infopandeglang,sofiamakeup.organizer_,,2 hari,90,Kejari Pandeglang malu maluin 😢😢 Yang udh aja udh gaada wibawa nya samasekali ya ibu Kejari ini 👏👏 yuk viralkan aja lah terlanjur yang udh aja udah banyak banget kasus pemerkosaan di Pandeglang ihh sebellll,6,,
infopandeglang,ira_spyh,,2 hari,72,"Hukum bisa berjalan dengan baik jika aparat penegak hukum (kepolisian, jaksa, penasihat hukum, hakim) bisa melaksanakan tanggunjawabnya dengan baik dalam penegakan hukum. Ini ko Jaksanya tidak punya perspektif korban? Saya yakin beliau paham betul soal victimologi korban ko tidak diterapkan? Jangan sampe kekuasaan menggelapkan jalannya keadilan. Korban adalah seorang perempuan, ko gampang jaksanya menghasut suruh memaafkan? Bagaimana jika itu terjadi kekeluarganya. Apa beliau tidak tahu trauma berkepanjngan seperti apa yng nantinya akan dirasakan korban? Tolong dibantu hakhak korban mendapatkan perlindungan, keselamatan mental, privasi korban.",6,,
infoserang,chen.ling23,@hotmanparisofficial,1 hari,28,Colek bang  mohon di bantu,6,,
infoserang,cuvider_,,1 hari,11,Harus di up ini mah.. hati2 buat para pria di luar sana dengan hormon endorfin kebanyakan efek nonton film biru kuning ijo bisa gini.. cukup di konsumsi tidak untuk di sebarkan ya..😂,6,,
netizenserang,mfrhnn0,,1 hari,9,Gedeg kite mh ngebacane min ape maning jereh kejaksaane malah nyeleweng ore gelem open kurang kenceng kayane ya fuluse😂,6,,
infoserang,iki2gd,,1 hari,5,Coba spill org tua pelaku yg ktanya eks pejabat,6,,
infopandeglang,lindahutapia,@iingandrisupriadi_88,2 hari,4,"Tanpa mengurangi rasa hormat, tolong pak dewan  bantu kami masyarakat utk menyampaikan kasus ini pada ibu Bupati & pihak yg berwajib. Semoga kasus ini bisa ditangani seadiladilnya. Haturnuhun.",6,,
infopandeglang,nadyaanalf,@andreazalf,2 hari,3,Kalo masih suka seblak jan suka jajawaraan ya ga dot,6,,
infopandeglang,adenalhusein,,2 hari,2,Ngeriii amat leee,6,,
infopandeglang,andhika_g,@hotmanparisofficial,2 hari,1,h,6,,
infopandeglang,andhika_g,@hotmanparisofficial,2 hari,1,h,6,,
infoserang,anangma.ruf_,,1 hari,0,"Gondrong: Lu punya duit lu punya kuasa, tapi buat gue ngga nyet",6,,
infopandeglang,riniriyaw,,1 hari,0,Mamam tu 6 taun,6,,
infopandeglang,frhnmlnaaa,@rezahaeryadi29,2 hari,0,Ga bahaya ta,6,,
infopandeglang,forum_mahasiswa_cibitung,@irnadimyati,2 hari,35,"Mun ibu   te sampe menyatakan sikap atau merespon soal kasus inimah keterlaluan syekali. Dan untuk  segera klarifikasi. Jangan sampai masyarakat yg sudah mengapresiasi kinerja ibu selama ini dengan baik, jadi menurun",5,,
infoserang,erniiyy_,,1 hari,33,"Alwi, perlu kamu ketahui bahwa sanksi sosial lebih kejam dari putusan sidang dipengadilan.",5,,
infopandeglang,ichanisha_02,@dr.richard_lee,2 hari,21,"undang ini kali Dok jgn artis terus.  mahasiswa anda?  bu warga anda sedang tidak baik² ,  kepada YTH. Wakit Rakyat.",5,,
infopandeglang,sgputri_,,2 hari,17,Spill aja foto pelakunya sekalian biar kena sanksi sosial!!,5,,
infopandeglang,vitosky_,@alealwiii,2 hari,8,cekidot,5,,
infoserang,rchzknsez,@alealwiii,1 hari,6,Min nama akun Ig cwo nya   nih min anak Untirta teknik sipil 🔥,5,,
infoserang,iif_funky,,1 hari,5,Kabarnya tersangka tidak hadir dalam persidangan 🤔,5,,
infopandeglang,thamaraaraa,,2 hari,5,Gua tau si ini siapa,5,,
infopandeglang,1indahputri,@adderosiandika,1 hari,4,Kawal terus ya ibuuu   😢🙏,5,,
infopandeglang,ichal.fr,@infopandeglang,2 hari,4,"sampein ke  pilih mau sama siapa bro, sasana tinju kita ada meskipun ga se proper tmpat para atlit mau ama King  atau",5,,
infopandeglang,alwii.hkm,@alealwiii,2 hari,4,"mngknna ulah songong jadi jelema mah lurr, kdu rumasa  😂",5,,
infoserang,khong,,1 hari,2,"keluarga ini punya ""power"" dipandeglang, mankanya kebal dan berani intimidasi. ngerii..ngerii",5,,
infopandeglang,calotes_19,,2 hari,1,Ngerasa anak pejabat jg boga power ieu budak,5,,
infoserang,amntnnaulaa,@ikaap16_,1 hari,0,ni anjir,5,,
infoserang,lindalstr00,,1 hari,0,"Status mahasiswa kelakuan kaya orang gak sekolah, pengen jambak sampe gundul",5,,
infopandeglang,1indahputri,@adderosiandika,2 hari,0,😢😢,5,,
infopandeglang,ratuhannyy,,2 hari,0,Kandaa Ale ko masi santai aja?🤣 ayoo kluarkan lah wujud mu kanda Ale ale🫰🏻,5,,
infopandeglang,_diditbocor,@imanzanatul91,2 hari,0,"Keadilan bakalan menang, mong!",5,,
infoserang,alfasakinatin_najfa,@mciserangofficial,1 hari,0,h,5,,
bantenraya,vla_dias_is,@rizalnyapakez,1 hari,0,h,5,,
infoserang,umar_un920,,1 hari,70,"Dinasti oh dinasti, pentolannya dah dipenjara / meninggal pun kuasanya masih ada..",4,,
infopandeglang,winddyuliansyaaa,,2 hari,54,"Hayoloh viral, lagian sosoan mam sangu keneh ge ngancem ngancem sagala macem ka anak batur😭🤣",4,,
infopandeglang,dwisamsulrizal40,@alealwiii,2 hari,34,"jika benar memang anda adalah pelakunya, anda adalah manusia yg tidak menghargai ibu anda sendiri sebagai wanita",4,,
infoserang,jmldnarofei_,@untirta_official,1 hari,28,"Trending bgt tu thread, katanya sih pelakunya mahasiswa",4,,
netizenserang,bayu_adhari99,,1 hari,16,Hukum tidak akan berjalan kalo ngga ada uang makan tai emang penegak hukum nya 🖕🖕,4,,
bantenraya,rosa.ats03,,1 hari,7,Udh viral baru di tangkep,4,,
infopandeglang,viktory_sofians,,1 hari,5,Bang jangan takut untuk berbicara bahasa Sunda Pandeglang,4,,
infopandeglang,ale.fth,,2 hari,5,"Mau komen, tapi takut di sangka pelaku🤣",4,,
netizenserang,richvodkaaaa,@alealwiii,1 hari,4,tanggung jawab lah minimal.. Bio sama kelakuan jomplang banget,4,,
infoserang,al.dafff,,1 hari,3,SAMPAH,4,,
infoserang,rezasupriatna_,,1 hari,3,Pandeglang lagi pandeglang lagi lamaa lama dapet piagam penghaargaan ini mah,4,,
infopandeglang,mahsukadia,,2 hari,2,cowo beban,4,,
infoserang,_qihhf,,1 hari,1,beraninya sm cwek.,4,,
infoserang,radenfahrizal,,1 hari,1,IG nya si Baji*** Ban** kaleng gak ada apa?,4,,
infopandeglang,alanbudip,@alditaher.official,2 hari,1,Tolong bang,4,,
infopandeglang,dorikpratama,,2 hari,1,Hih nyah,4,,
infoserang,khaiimaan,,1 hari,0,"Wah ALWI siap2 nerima sanksi sosial dari pelampiasan netizen di Banten khususnya, selamat ya buat kamu 👏🏻",4,,
infopandeglang,kaataanyaaa,@_antiair,1 hari,0,aya wartawan PW,4,,
infopandeglang,1990aarchives,@f1krimuhamad,2 hari,0,waduh nek temen dlu mabar kita ko jadi gini ya,4,,
infoserang,agasmlna,@ahmadrifai406,1 hari,0,h,4,,
infoserang,melody.amaliya,,1 hari,153,"Belakangan ini pandeglang serang lagi viral terus nih, yg perempuan korupsi buat modal skincare dan yg laki"" punya bini banyak suka hiburan malam. Maluu, semoga Allah murkanya sama pelaku aja amin",3,,
infoserang,arululm,,1 hari,85,Manusia yang dinafkahi dari duit haram hasilnya melebihi setan.,3,,
infoserang,dimaspashaofficial,@untirta_official,1 hari,60,"Saya Tunggu Klarifikasi dari Rektor  , krn ada nama kampus disitu, slide terakhir.. Terimakasih Netizen yg budiman",3,,
infopandeglang,mazmiat,,1 hari,21,"katanya jaksa sm terdakwa ko online ya, masih pandemi kah",3,,
infopandeglang,lalarfy06,,2 hari,8,"Awww jadi hayang nele Bentukan Lalakina, karunya teu payu ka awewe Maksa nitah cewe na bertahan, Ngacaa atu geus goreng benget goreng Pamake, Komo baru Jeung goreng eusi dompet mah, Ulah awewena NU titah bunuh diri, dia we Paeh dabeweh gunaan wkwkwk Karunyaaaaa, Lebih aneh Kana pengadilan anu teu narima laporana",3,,
infoserang,nabe_wong,,1 hari,4,Pelaku anak pejabat apa min..,3,,
infopandeglang,ilhamali.rzqi,,2 hari,4,Anak pejabat😮,3,,
infoserang,yuandaranis,,1 hari,3,". Ga bsa gw bayangin kalo korban itu adik gw.. Gw sih Nekat samperin kerumahnya, bawa golok atau pisau daging sabi. Gw mau Tangan atau kakinya aja sih buat pajangan di kamar. Sama pelernya buat gantungan kalung gw",3,,
infoserang,faraashania,,1 hari,3,"𝐆𝐮𝐲𝐬 𝐛𝐨𝐥𝐞𝐡 𝐭𝐨𝐥𝐨𝐧𝐠 𝐛𝐚𝐧𝐭𝐮 𝐬𝐩𝐢𝐥𝐥 𝐩𝐫𝐨𝐝𝐮𝐤 𝐩𝐞𝐧𝐮𝐫𝐮𝐧 𝐛𝐛,𝐭𝐚𝐩𝐢 𝐲𝐚𝐧𝐠 𝐚𝐦𝐚𝐧 ,𝐛𝐞𝐫𝐤𝐮𝐚𝐥𝐢𝐭𝐚𝐬,𝐭𝐚𝐧𝐩𝐚 𝐞𝐟𝐞𝐤 𝐬𝐚𝐦𝐩𝐢𝐧𝐠 .𝐬𝐨𝐚𝐥𝐧𝐲𝐚 𝐚𝐤𝐮 𝐮𝐝𝐚𝐡 𝐜𝐨𝐛𝐚 𝐬𝐞𝐠𝐚𝐥𝐚 𝐦𝐞𝐫𝐤 𝐭𝐞𝐭𝐚𝐩 𝐚𝐣𝐚 😣😣𝐛𝐛 𝐦𝐚𝐬𝐢𝐡 𝐭𝐞𝐭𝐚𝐩 😔𝐠𝐚𝐤 𝐭𝐮𝐫𝐮𝐧-𝐭𝐮𝐫𝐮𝐧 𝐦𝐨𝐡𝐨𝐧 𝐢𝐧𝐟𝐨𝐧𝐲𝐚 𝐲𝐚𝐡...",3,,
infoserang,mayadwiims,@lisyarizki,1 hari,2,"Nih guys berita yg lagi trending di twitter, mahasiwa untirta** pelaku dan korban nya",3,,
infopandeglang,asepsyahrulm,@solihahaimaryati,2 hari,2,"Bu  tolonggh ini ada diskriminasi kaya gini, harus turun tangan nih Bu 😢",3,,
infoserang,hofifatunnatikoh_,@alealwiii,1 hari,2,h,3,,
infopandeglang,imammujahidzulkarnain,,1 hari,1,Jeng saha eta duit samilieur na?,3,,
infopandeglang,sofinovtagst,@putriinraml,2 hari,1,h,3,,
infoserang,adenrkoswara,@papazareen,1 hari,0,eta kumaha aduuhh,3,,
infoserang,_adtyarmdhn19,@anggaok_,12 jam,0,parah bre lu mh anak orang,3,,
infoserang,marianairlestari,,1 hari,0,"Ada ya anak pejabat tampilannya jamet begitu banyak tingkah, eh astaghfirullahhh😭🙏",3,,
infoserang,rifamn,,1 hari,0,Baca lengkapnya di twitter sejak kecil sudah c*b*l ngeri amattt,3,,
infoserang,hello.arip,@kemalhendri,1 hari,0,Gila sih mal ini,3,,
infoserang,dimasfaudi17,@padeelll,1 hari,0,gmana nihhh guysss?,3,,
infoserang,tbfurqonn,,1 hari,0,Pendidikan kaya orang iya lo ni brooo klakuan atah🤣🤣,3,,
bantenraya,alung_xixi,@heruhermawaann,1 hari,0,hati hati ya,3,,
infopandeglang,dunand_id,,2 hari,0,Anak pejabat nih kayaknya hmm,3,,
infopandeglang,cuzimclever,@blanche.castille,2 hari,0,udah mulai up kasusnya,3,,
infopandeglang,kedennisaja,@padeelll,1 hari,0,gmna bang padel ??,3,,
infopandeglang,hai_ril08,,2 hari,0,Semoga mati 🤲,3,,
infopandeglang,pramudiyawan_,,2 hari,0,Pelaku orang panimbangjaya?,3,,
infopandeglang,ariapriansyah43,@geabykasep,2 hari,0,izinnn abangkuuuuuu 🙏🏻🙏🏻🙏🏻,3,,
infopandeglang,agungfauziii_,@_simpli2,2 hari,0,Tanggapanna kmha dak,3,,
infopandeglang,xagnpr_,@alealwiii,2 hari,0,cowo Gaada otakkkkkkk lo,3,,
infopandeglang,mrainierrf,@mtfanss_,2 hari,0,Kasusnya ini,3,,
infopandeglang,dmsptr28,@lukyanalukita42,2 hari,0,kudu di ulti 🤣,3,,
infopandeglang,dianpurnamasariabidin,@hatimayoma,2 hari,0,h,3,,
infopandeglang,bayukusuma468,@arty_diwirjo,2 hari,0,h,3,,
infopandeglang,bayukusuma468,@arty_diwirjo,2 hari,0,h,3,,
infopandeglang,wildanmutaqin_,#JanganDiam,1 hari,103,"Terimakasih kawan2, yang sudah lantang menyuarakan keadilan untuk korban, keadilan bangsa kita hanya milik penguasa, tapi ketika kita kompak menyuarakan  sama-sama membela dan mengambil peran alhamdulilah, media menjadi senjata kita, kita kawal sampai selesai!, BantuLawan KitaBersamaKorban",2,,
infoserang,yuniilhamsetia,,1 hari,62,Usut tuntas kasus ini ga ada istilah ank pejabat gaspoll karungin,2,,
infopandeglang,anita.mlyni,,1 hari,38,"6 tahun berasa kurang puas bngt, sedangkan korban trauma, dibikin hancur masa depannya, dibikin malu.. diancam bahkan di aniayaya oleh pelaku loh . Apalagi selama 3 tahun menderita..ga kebayang jadi si korban gimana mental yg rusak skrng",2,,
infopandeglang,rreztianjani,,2 hari,37,"udah ada bukti chat, video,  perlu bukti apa lagi sih pak... ya allah meni dipersulit bapak jaksaa... jangan jangan jangan jangan lah 🙄",2,,
bantenraya,din_setiadin,,1 hari,19,Pelaku ngarana ALWI HUSEN MAULANA anak Kadis DLH pandeglang alm,2,,
infopandeglang,inpopandeglang,,2 hari,14,"Yes akhirnya di up,sudah viral Twitter,di spill jaksa nya",2,,
infoserang,rizki.hikmatulloh,@humaspoldabanten,1 hari,12,buktiin kalo Sila ke 5 Itu memang Ada,2,,
infopandeglang,shakenlemonadetea,,1 hari,11,"Kt saya juga bukan soal MAU sama MAU tp ini SOAL KEKERASAN DAN PEMERASAN! Aneh ngerti hukum ko berbelit belit banget permasalahin kasus. Jangan cuma pasal ITE aja dong, tapi kan ini ada pengancaman dan pemerasan. Bentar lagi ada video permohonan maafkah? Kita tunggu🤪",2,,
infopandeglang,stepxboys,,1 hari,9,Waduh cuman ITE? Jangan sampai hukum ite karena pelaku bisa membela dengan hukum perdata untuk keluarga korban terus lanjutkan masuk ke tuntutan kekerasan,2,,
infopandeglang,aanfaishalj,@rizky_arifiantoo,1 hari,6,"Jangan kendor bang sekwil, kawal sampai tuntas🔥",2,,
infopandeglang,heyyast_,@alealwiii,2 hari,6,Y’TEAM MERESAHKAN,2,,
infoserang,yu.trlstr,,1 hari,5,alwi husen maulana yatim belagu banyak gayaaa cuih so jagoooan🥲🥲,2,,
infoserang,brewww711,,1 hari,5,Inilah mengapa islam melarang sesuatu yg haram masuk kedalam tubuh.,2,,
netizenserang,kh1000erin,,1 hari,5,yaallah rasanya pengen main hakim sendiri tapi sadar kalo mahasiswa fakultas hukum 🥹,2,,
infopandeglang,raflyfauzant_,,1 hari,5,Mantab bang kudel tegakkan keadilan ✊,2,,
bantenraya,irmayunita28_,@bantenraya,1 hari,5,Jadi si pelaku ini sudah di tangkap min,2,,
infoserang,iballl.ee,,1 hari,4,"Weh alwi anak nya pejabat, harta nya dari masyarakat itu kan?, anak nya yang bermasalah turun masalahnya ke keluarga nya",2,,
netizenserang,alfarez_n,,1 hari,4,Katanya pelaku anak kuat Dinasti Pandeglang yah ? 👀,2,,
bantenraya,rudiyanajaya21,,1 hari,4,"Anak Mantan Kadis DLH ? Boa2 doelu na Loba Ngadahar Sampah, trs Ank na jdi RUNTAH!",2,,
infopandeglang,yogafey_,,1 hari,3,Kudu viral heula hukum kuari mah barudak karak serius 😂,2,,
infopandeglang,kaherr__,,2 hari,3,"Angpun aing mah ie jelema, ngisin ngisin ken pandeglang bae 🫠",2,,
infoserang,risyadmaulana_,,1 hari,2,Yang orang Pandeglang itu kan?,2,,
infopandeglang,hazzaima,@annisasuryandi,1 hari,2,kudellll bukan sii?,2,,
infopandeglang,husnilaw,@rizky_arifiantoo,1 hari,2,"Mantap. Pendampingan oleh advokat dari posisi korban juga penting, peran advokat sebagai penegak hukum di posisi ini memastikan, mengawal penegak hukum lainnya agar bekerja secara profesional. Semoga hakim memvonis maksimal terdakwa, apabila vonis ringan jaksa harus banding, tetap konsisten dan terarah yo mas 😁   dalam pendampingan hak hukum korban . Bravoo✌️",2,,
infopandeglang,yovtrash,,1 hari,2,Terus biar nyaho di sel kaya gimna ckckck,2,,
infopandeglang,ronibsantoso,,2 hari,2,Spill pelakunya....,2,,
infopandeglang,septihryntii,,2 hari,2,Apakah ini sodaraan ama Riko yg ngebunuh alm alisaaa,2,,
infopandeglang,nadaarikha,,2 hari,2,pasti eta pelakuna goreng patut jeng delaga,2,,
infoserang,ayuniamaliah_,,19 jam,1,Anjaayyy nakk untircoyyyy🔥🔥🔥,2,,
infoserang,ulfaa1717,@wulantrihdyn,1 hari,1,khawatir gini nih inget ga ?,2,,
infoserang,bukansani,,1 hari,1,saya sebagai calon ustadz malu melihat tingkah laku beliau🗿,2,,
infoserang,jansenlaory,,1 hari,1,Serem amat sih beritanya😢,2,,
infoserang,dindaanggraenii,@rendymandalika,1 hari,1,Coba bapak- bapak pengacara ku yg hebat2 nih d up,2,,
infoserang,nuyyyyyyy___,@alealwiii,1 hari,1,nih ig nya guysss silahkan silaturahmi,2,,
infoserang,anjni33,,1 hari,1,astagfirallah,2,,
infoserang,seblak_baper13,,1 hari,1,up,2,,
netizenserang,fanjovan_,@ryaaan0_,1 hari,1,Ini pelaku nya min,2,,
infopandeglang,its.queenalvii,,1 hari,1,Ulah di bere ampun dak !!!🔥🔥🔥,2,,
infopandeglang,de.juneeeeee,,1 hari,1,"PELAJARAN buat adik2 perempuan yang lain, SECINTA-CINTA nya kalian sama pacar . PLEASE JANGAN TOLOL dgn terus berada di zona Toxic Relationship. Bukan manusia itu mah setan. Kalian berhak bahagia dgn masa muda kalian. Yg rugi diri kalian sendiri, Keluarga yg berjuang susah payah besarkan kalian menanggung malu. Please be smart ya ❤️ Kalian berhak bahagia dgn cara lain.",2,,
infopandeglang,winddyuliansyaaa,@windaauliansyaa,2 hari,1,"mirip kisah siapa ya?, coba dulu dah paham twiter🤣",2,,
infopandeglang,alditaher_24,@hotmanparisofficial,2 hari,1,pak Hotman lihat pak,2,,
infopandeglang,as_rahman7,,2 hari,1,"Biasanya viral dulu sih baruuu ada perubahan, ea 😁 Xixixi",2,,
infopandeglang,the.funkyjunkie,,2 hari,1,BIADAB!KOMUK KEMEM SUSAH SI,2,,
infopandeglang,haji_ossa,,2 hari,1,"Inisial na AHM, menurut ingpoh dia itu anak mantan pejabat yg udah pensiun, besok selasa akan ada sidang lagi di PN Pandeglang dgn agenda PEMBACAAN DAKWAAN, mudah²an terdakwa hadir.",2,,
infopandeglang,aldoali___,,2 hari,1,"Awww takut ma cowonya, takut di cikca",2,,
infopandeglang,muktimohammad,,2 hari,1,Gila gila yaAllah,2,,
infopandeglang,jamaaaaaaaaaal_,,2 hari,1,👀,2,,
infoserang,saybiazahraa,@popaiiqq,1 hari,1,h,2,,
infopandeglang,ri.yn2,@hotmanparisofficial,2 hari,1,h,2,,
infoserang,jundandiput,,1 hari,0,"Spill ig pelakunya dong, mau silaturahmi",2,,
infoserang,randyesadharmawan,,1 hari,0,untirta lagi aja...,2,,
infoserang,_adondon,@dinanty13,1 hari,0,"cari tahu info nya, gue pengen silaturahmi",2,,
infoserang,ulumm.f,,1 hari,0,Gebugan bae lah,2,,
infoserang,yusrinadirayati,@ewinnazar,1 hari,0,kenal kayane mah si a ewin karo wonge,2,,
infoserang,mayasoffa,@fuktiatunn,10 jam,0,Satu fakultas sama kamu  😂,2,,
infoserang,gits_98,,1 hari,0,Oh Pandeglang wkwkwk,2,,
infoserang,putra_aryanto8,@naufalarull_,1 hari,0,kasih tanggapan tentang kasus ini,2,,
infoserang,cinnnnn__dy,@akmalbelasukmana,1 hari,0,ingt ka sia aing ma mal😂😭🤭,2,,
infoserang,adelamutiarachyn__,@cenk.alwie02,1 hari,0,nih min nih orgnya wk,2,,
infoserang,viraagstnayy,,1 hari,0,Ya ampun opet,2,,
infoserang,1205.thv,@mrrnia,1 hari,0,jangan percaya cwo,2,,
infoserang,andreohoirat,@alealwii,1 hari,0,ini pelakunya lur!!,2,,
infoserang,amelia.arkan_87,@sukmamaddens,1 hari,0,kenal ga? Guluuung giih 😂,2,,
infoserang,indnaafa,@alyafrnnd4_,1 hari,0,wah ada apa sama Pandeglang ni,2,,
netizenserang,mzdn_id,@ale.alwii,1 hari,0,ini akunya woy,2,,
infopandeglang,moch_yadi19,,1 hari,0,1m dikemanakan uang itu bang kalo boleh saya tau,2,,
infopandeglang,rzilwhydn_,@rfrfrfrfyy,1 hari,0,hadeh kacau anak muda skrng,2,,
infopandeglang,fitrihy19,,2 hari,0,astagfirullah ada apa lg ini Pandeglang 😢,2,,
infopandeglang,louaydis,,2 hari,0,Hukum seberat beratnya klo bsa hukuman mati,2,,
infopandeglang,mahfudfauzi_,,1 hari,0,Hruhhhh,2,,
infopandeglang,azamkhsyr_,@uki_jangkis,2 hari,0,"Emang kudu lapor netijen aja biar kerjanya pada bener, yegak?",2,,
infopandeglang,sigitaldiaan_,,2 hari,0,baru keluar goa jadi gatau berita ini kudet bgt aing euyy :(,2,,
infopandeglang,aiqbalmuhamad,,2 hari,0,Efek sistem 😩,2,,
infopandeglang,m.qditya,@hidinseptiyana,2 hari,0,tolong di bantu kasus ini komandann,2,,
infopandeglang,marbunpetruccy,,2 hari,0,Aww,2,,
infoserang,caelahfaa_,@czniy,1 hari,0,h,2,,
infopandeglang,hayafnkr,@andriano_lorenzo,1 hari,0,h,2,,
infopandeglang,yongki.afin,@kejaripandeglang,2 hari,0,h,2,,
infoserang,yulianti1058,,1 hari,41,Harus di viralkan dulu baru respon semuanya bertindak,1,,
infopandeglang,eka_faricha,@irnadimyati,2 hari,41,"tolong bu, jangan biarkan kekayaan berkuasa membungkam kesalahan",1,,
infopandeglang,inpopandeglang,,1 hari,37,"6 tahun itu hanya untuk pelanggaran UU ITE? Laporkan lagi tentang ancaman pembunuhan, pemerkosaan & pemerasan,",1,,
infoserang,oks.ay.mg,,1 hari,22,"Bisa ga ngebolehin konser musik, tapi yang begini masih bisa lolos. ONLY PANDEGLANG",1,,
