comment_en,Polarity,Analysis
"𝐆𝐮𝐲𝐬 𝐛𝐨𝐥𝐞𝐡 𝐭𝐨𝐥𝐨𝐧𝐠 𝐛𝐚𝐧𝐭𝐮 𝐬𝐩𝐢𝐥𝐥 𝐩𝐫𝐨𝐝𝐮𝐤 𝐩𝐞𝐧𝐮𝐫𝐮𝐧 𝐛𝐛 𝐛𝐛 𝐛𝐛 𝐛𝐛 𝐚𝐦𝐚𝐧 𝐚𝐦𝐚𝐧, 𝐛𝐞𝐫𝐤𝐮𝐚𝐥𝐢𝐭𝐚𝐬, 𝐛𝐞𝐫𝐤𝐮𝐚𝐥𝐢𝐭𝐚𝐬 𝐞𝐟𝐞𝐤 𝐬𝐚𝐦𝐩𝐢𝐧𝐠 𝐬𝐚𝐦𝐩𝐢𝐧𝐠 𝐬𝐚𝐦𝐩𝐢𝐧𝐠 𝐚𝐤𝐮 𝐮𝐝𝐚𝐡 𝐬𝐞𝐠𝐚𝐥𝐚 𝐦𝐞𝐫𝐤 𝐚𝐣𝐚 😣😣𝐛𝐛 😔𝐠𝐚𝐤 𝐭𝐮𝐫𝐮𝐧 𝐭𝐮𝐫𝐮𝐧 𝐭𝐮𝐫𝐮𝐧 𝐭𝐮𝐫𝐮𝐧 𝐭𝐮𝐫𝐮𝐧 𝐭𝐮𝐫𝐮𝐧 𝐭𝐮𝐫𝐮𝐧 𝐭𝐮𝐫𝐮𝐧 𝐦𝐨𝐡𝐨𝐧 𝐲𝐚𝐡 ...",0.0,Neutral
"Here guys the news that is trending on Twitter, students untirta ** the perpetrators and victims",0.0,Neutral
"Ma'am, please have this discrimination like this, you have to intervene, ma'am 😢",0.0,Neutral
h,0.0,Neutral
Jeng Saha Eta Money Samilieur Na?,0.0,Neutral
h,0.0,Neutral
Eta Kumaha Ouch,0.0,Neutral
bad Bre lu mh son of someone,-0.6999999999999998,Negative
"There is a child who looks like a jamet so much behavior, eh astaghfirullahhhh cription",0.2,Positive
"Read the full on Twitter since childhood, C*B*l was horrified",0.35,Positive
This mall is crazy,-0.6,Negative
How do you guys?,0.0,Neutral
"Rich education, yes, bro, brooo",0.375,Positive
"Be careful, ok",0.2,Positive
"This is an official, hmm, hmm",0.0,Neutral
already started up the case,0.0,Neutral
How about Bang Padel ??,0.0,Neutral
Hopefully die 🤲,0.0,Neutral
Panimbangjaya people?,0.0,Neutral
Permission to Abangkuuuuuuu 🙏🏻🙏🏻 out,0.0,Neutral
Response KMHA DAK,0.0,Neutral
guy no brainkkkkkkk,0.0,Neutral
This case,0.0,Neutral
Kudu in Ulti 🤣,0.0,Neutral
h,0.0,Neutral
h,0.0,Neutral
h,0.0,Neutral
"Thank you friends, who have loudly voicing justice for victims, our nation's justice belongs only to the authorities, but when we are compact voicing together to defend and take the role of Alhamdulilah, the media becomes our weapon, we guard until finished!, Bantulawan Kitabersamakorban",0.05,Positive
"Investigate this case, there is no term Gaspoll Karungin official",0.0,Neutral
"6 years feels less satisfied, while victims of trauma, made to be destroyed by their future, made embarrassed ... Threatened even in Aniayaya by the perpetrators. Especially for 3 years suffering ... I don't imagine being the victim how mentally broken now",-0.02361111111111111,Negative
"Already there is proof of chat, video, what else is it needed proof, sir ... O Allah, it is complicated by the Attorney General's Office ...",-0.22499999999999998,Negative
Perpetrators of Ngarana Alwi Husen Maulana Children's Head of DLH Pandeglang Alm,0.0,Neutral
"Yes, finally up, already viral Twitter, at the prosecutor's spill",0.0,Neutral
prove that the 5th principle does exist,0.0,Neutral
"KT I am also not a matter of wanting to want to be about violence and extortion! Strange to understand the law, how come the problem is very complicated. Don't just article ITE, but this is a threat and extortion. So soon there is a video of an apology? We wait🤪",-0.35000000000000003,Negative
"Wow, just that? Do not let the law because the perpetrators can defend with civil law for the victims' families continue to enter the demands of violence",0.1,Positive
"Don't be loose, Bang Sekwil, guard until complete",0.011538461538461539,Positive
Y'Team is troubling,0.0,Neutral
Alwi Husen Maulana Yatim Belagu Many Stylea Cuih So Jagoooan🥲🥲,0.5,Positive
This is why Islam forbids something that is haram from entering the body.,0.0,Neutral
"Yeah, it feels like I want to vigilant yourself but realize that the Faculty of Law Students 🥹",0.0,Neutral
Mantab bang kudel uphold justice ✊,0.0,Neutral
So the perpetrator has been arrested min,0.0,Neutral
"Weh Alwi is an official, his property from the community, right?, His child who has the problem down the problem to his family",0.06507936507936506,Positive
He said the perpetrators of the Pandeglang Dynasty strong child? 👀,0.4333333333333333,Positive
"The former dlh child? Boa2 Doelu Na Loba Ngadahar Garbage, then Ank Na Jdi collapsed!",0.0,Neutral
Kudu Viral Heula Kuari Mah Barudak Karak Karak's Law 😂,0.0,Neutral
"Angpun Aing Mah Ie Jelema, Ngisin Ngisin Ken Pandeglang Bae 🫠",0.0,Neutral
The Pandeglang people right?,0.2857142857142857,Positive
KUPELLL NOT SII?,0.0,Neutral
"Excellent. Assistance by advocates from the position of the victim is also important, the role of advocates as law enforcers in this position ensures, overseeing other law enforcers to work professionally. Hopefully the judge sentenced the defendant to the maximum, if the prosecutor must be appeal, it remains consistent and directed by Yo Mas 😁 In assisting the victims' legal rights. Bravoo✌️",0.25000000000000006,Positive
Then let me nyaho in a cell like gimna ckckck,0.0,Neutral
Spill the culprit ....,0.0,Neutral
Is this a soda of Riko who killed Alm Alisaaa,-0.2,Negative
Surely Eta Fried Clakuna worth Jeng Delaga,0.4,Positive
Anjaayyy Nakk Untircoyyyyy🔥🔥🔥,0.0,Neutral
worried like this remember or not?,0.0,Neutral
I as a candidate for Ustadz is ashamed to see his behavior🗿,0.0,Neutral
Very scary news😢,-0.65,Negative
Try my father's great lawyer,0.8,Positive
here is the IG guysss please friendship,0.0,Neutral
Astagfirallah,0.0,Neutral
up,0.0,Neutral
This is the perpetrator min,0.0,Neutral
Tantrums in the beeegah de fact !!! 🔥🔥🔥,0.0,Neutral
"Lessons for other female younger siblings, as love as you are with your boyfriend. Please don't stupid by continuing to be in the toxic relationship zone. Not human is a devil. You have the right to be happy with your youth. Who loses yourself, families who struggle with difficulty enhance you bear the shame. Please be smart ❤️ You have the right to be happy in other ways.",0.11813186813186814,Positive
"Is it similar to the story?, try to understand twiter🤣 first",0.125,Positive
Pak Hotman see sir,0.0,Neutral
"Usually the first viral is there any change, EA 😁 XIXIXI",0.0,Neutral
Barbaric! Komuk kem is difficult,-0.5,Negative
"The initials Na AHM, according to Ingpoh, he was the son of a former official who had retired, tomorrow Tuesday there would be another trial at Pandeglang District Court with the agenda of reading the indictment, hopefully the defendant was present.",0.0,Neutral
"Awww afraid of his cow, afraid in Cikca",-0.2333333333333333,Negative
Crazy yaallah,-0.6,Negative
👀,0.0,Neutral
h,0.0,Neutral
h,0.0,Neutral
"Spill ig the culprit, want to be friendly",0.375,Positive
just untirta ...,0.0,Neutral
"Find out the info, I want to be friendly",0.375,Positive
Gebugan Bae,0.0,Neutral
Know Kayane Mah Si A Ewin Karo Wonge,0.0,Neutral
One faculty with you 😂,0.0,Neutral
Oh Pandeglang wkwkwk,0.0,Neutral
give a response about this case,0.0,Neutral
Ingt ka sia aing ma mall 😂 ago,0.0,Neutral
"here is the person, wk",0.0,Neutral
Geez Opet,0.0,Neutral
Don't believe Cwo,0.0,Neutral
This is the culprit !!,0.0,Neutral
do you know? Guluuung Giih 😂,0.0,Neutral
"Wow, what's up with Pandeglang",0.1,Positive
This is Woy,0.0,Neutral
"1m in the money, bro, if I may know",0.0,Neutral
hadeh chaotic young people now,0.1,Positive
Astagfirullah What's Lg This Pandeglang 😢,0.0,Neutral
The law as severe as severe if can be a death sentence,0.0,Neutral
Hruhhhh,0.0,Neutral
"Do you have to report netijen so that it works to be right, yegak?",0.2857142857142857,Positive
just out of the cave so I don't know this news is really a meyy :(,-0.275,Negative
System Effect 😩,0.0,Neutral
please help this case commander,0.0,Neutral
Aww,0.3,Positive
h,0.0,Neutral
h,0.0,Neutral
h,0.0,Neutral
Must be violent first and then the response all act,-0.275,Negative
"Please ma'am, don't let the ruling wealth silence the mistakes",0.0,Neutral
"6 years is only for violations of the ITE Law? Report again about the threat of murder, rape & extortion,",0.0,Neutral
"Can not allow music concerts, but this can still escape. Only Pandeglang",0.0,Neutral
"Photos of the perpetrators and kelbes beesilewes in the social media are lacking, it should be made like the case of Risma, a lot of close up on all social media. So that the eternal trail until later the perpetrators will be a battery, if the law in this country can still be purchased, for social sanctions for more heinous perpetrators!",0.145,Positive
"Good job lawyer, continue to chase with other articles & don't stop in the ITE article. We netizens will continue to pressure until this case is complete",0.22499999999999998,Positive
"Even though the name given by his parents is good, but unfortunately it is not as good as his depraved attitude 🥲 hopefully soon can be justice for victims 🙏",0.175,Positive
Pandeglang Gada Drugs🔥🔥🔥,0.0,Neutral
"For hope that the law runs as it should be, oh yeah, he said there is an attempt to reconcile this case huh ?? Please clarify, please",0.0,Neutral
"Aw Rame Nihhhhhh, so for the victims' families don't stay silent! This is not a matter of defamation but the mentality of a victim! And it's not a matter of wanting to be the same, but it's a matter of violence and extortion! Those of you who understand the law should understand more, let alone have children (women).",0.1015625,Positive
"kisauuu org ""who is not intent",0.0,Neutral
How come you want to viral again mother 😢 please help to be escorted,0.0,Neutral
"Women Support Women Tai Cat, needs to be underlined this incident and previously occurred when the Governor, Regent, Head of the Court & Prosecutor was Women!",-0.20833333333333331,Negative
"Haha as a person who knows what rich perpetrators, and my friend is a victim of a strange msi video delivery with a steatment that is dividio based on approval and Alwi is not spreading, if you want it. 🫣 Don't jaooh2 this plis pin. Slander is sorry for the victim",-0.020833333333333343,Negative
The law that can be trusted in Indonesia is only the law of karma!,0.0,Neutral
Help please please,0.0,Neutral
"""It's so the son of a rich man (official) of the song likes to be a pitcher, like his father's money is halal!"" DKI Casino 😁",0.46875,Positive
"Please help sir, stretch completely until the fairness is as fair as fair. 3 years, not a short time. What is the psychological condition of the girl, sir, please only you who are the most dabest in the issue of justice 😭😭",0.2857142857142857,Positive
"Ayooo guarded this case, this morning there was a trial but the defendant and his prosecutor online (via zoom) while the victim was offline and this trial went very closed. What's behind this? So the same case with this case from last night was crowded on Twitter until now still trending the Alwi😅",-0.03416666666666667,Negative
"How come the man beats a woman until he is, not a match for you, fighting with a man again, a match if it's comparable",0.0,Neutral
"Cik Atuh Nu Sok Sok Making Agate, Tasbeh Geura Karul Gengkul Necklace",0.0,Neutral
Please give a lesson ma'am,0.0,Neutral
just up the face of the culprit so that there will be social sanctions,0.03333333333333333,Positive
h,0.0,Neutral
h,0.0,Neutral
in the lecture instead of getting more and more even more gabener,0.5,Positive
Pandeglang Maning Pandeglang Maning 🫠,0.0,Neutral
"This is ahir2, how come it's scary",-0.5,Negative
If it's better to just turn off the perpetrators. Bodo Amat High School Law. Rather than he is free to roam,0.35333333333333333,Positive
"help up so pity, the news",-0.1,Negative
"Dogs too, people",0.0,Neutral
His face is the animal upin ipin the opet,0.0,Neutral
Oalah child untirrrrrrrrrrr,0.0,Neutral
"The perpetrators were given food from money, what did the behavior like that ... ??",0.0,Neutral
who wants to be his girlfriend ale🤣,0.2,Positive
Ma'am please ma'am,0.0,Neutral
permission sir can be up this time sir already gone too far,0.1,Positive
May you be assisted,0.0,Neutral
Laiyeee Wong Sugih Authority is said to be Bekasee Digean manganese karo money ore is really an anakie geh ore right,0.24285714285714285,Positive
"His father had left. Anyone know IG IG Mother, Sister ""ya. Wkwkwkw kzllll really read.",0.1,Positive
"The perpetrator's keknya has a lot of links. That's why it's slow, later if you've broken down the prison after the palace is really good",-0.031111111111111135,Negative
Dear netijen should read the sticky thread first,0.25,Positive
Kawal continues until complete,0.1,Positive
Do you want to be his girlfriend Ale? 🤣,0.0,Neutral
A Punten see really sorry,-0.5,Negative
don't forget to go to the rhino market buy the essence,0.0,Neutral
It seems like the perpetrator of the official child or an author's child ... or it could be a child with a person Udh for sure 😂,0.5,Positive
this is called the city of santri?,0.0,Neutral
h,0.0,Neutral
h,0.0,Neutral
h,0.0,Neutral
h,0.0,Neutral
h,0.0,Neutral
IG and this is the Facebook link 👉🏻 https://www.facebook.com/alweec?mibextid=zbwkwl,0.0,Neutral
Ketar yaa,0.0,Neutral
Ale Ale Oki Jelly Drink Act,0.0,Neutral
Astaghfirullah😢😢 What are you saying?,0.0,Neutral
"Where is this ""justice for all Indonesian people""? -Al has been destroyed for a long time, it seems that people are not moral like this, not, it's not just in prison law. Pantes the law of death? Astaghfirullah, emotions",-0.025,Negative
"mental illness is a guy, min",-0.1,Negative
"Weve we have to be careful of Pandeglang residents, only the murder case is now hadeh wkwkwkwkkw",-0.05,Negative
"Haduh Pandeglang LG Pandeglang LG, don't have a toilet part 2. Completely!",0.04583333333333334,Positive
Kageet bgt in our area there are cases like this,0.0,Neutral
Be careful in getting along,-0.1,Negative
Weh son untirta,0.0,Neutral
6 years + 1m + castration,0.0,Neutral
Admin Info Pandeglang Top🤝 Steady Min,0.16666666666666666,Positive
"Just a few days ago I discussed Revenge Porn, right",0.042857142857142844,Positive
Duh Knowing🙈,-0.3,Negative
We need a video,0.0,Neutral
Damaged Batur,0.0,Neutral
Call the full name of the culprit,0.35,Positive
h,0.0,Neutral
h,0.0,Neutral
h,0.0,Neutral
h,0.0,Neutral
h,0.0,Neutral
Poor,-0.4,Negative
This info is your junior please invite coffee together. Want to try the magic. Brush the time like this isn't right.,0.39285714285714285,Positive
Or just make a photo banner and then install it in the Pandelang square ...,0.0,Neutral
"Den Sodara, huh?",0.0,Neutral
well proven yahhhhhhhh who has money from the doubtful of the money is halal,-0.8,Negative
His name is the perpetrator,0.0,Neutral
Wadoh Untirta,0.0,Neutral
"The faces are very strong, bro",0.5633333333333334,Positive
150 full set with the cage or not,0.35,Positive
Pie Kih. I returned the sabeta hose tah,0.0,Neutral
do you know me,0.0,Neutral
"Try to help, bro, your territory isn't it?",0.0,Neutral
Please words of the pearl,0.0,Neutral
Maybe know. Ceunah Untur Child,0.0,Neutral
Look at the bub,0.0,Neutral
Trust Issue with org Pandeglang,0.0,Neutral
Belll,0.0,Neutral
"Astaghfirullah, hopefully we all will be cared for from people who intend to be evil🥲",0.0,Neutral
"Cs you're bad, wkwk",-0.6999999999999998,Negative
Horrified,0.0,Neutral
Luer knows no high school,-0.08,Negative
this is like the person🗿,0.0,Neutral
This is an accounting child,0.0,Neutral
Info Mantekin Alwi🗿,0.0,Neutral
Try to escort the case,0.0,Neutral
Bru d up,0.0,Neutral
This one is?,0.0,Neutral
Do you know?,0.0,Neutral
the lyrics first then follow up,0.25,Positive
This is the perpetrator,0.0,Neutral
here until the infense is the news,0.0,Neutral
just pandeglang again yan wkwk,0.0,Neutral
"If you may know, how can you get the video? Deliberately given by the victim or what? Or take a video when the victim is unconscious?",-0.07500000000000001,Negative
What are you doing there,0.0,Neutral
Gas gas gas 🤲,0.0,Neutral
I have to be firm,-0.2,Negative
Salpok,0.0,Neutral
Deuuleu Horeng Bang Kudel Lawyer,0.0,Neutral
Kudu Viral Bae Jing Nyah Karak in Denge ..,0.0,Neutral
Just demanded by it? Not demanded TPKS huh? Rather pessimistic if only that🙃,0.0,Neutral
This is not Nok,0.0,Neutral
Di in censorship,0.0,Neutral
Ana nitip bere balm geliga upstream na mung pendak dick in prison ok ...,0.5,Positive
Just NU Enya,0.0,Neutral
"Teteh please, ((😢😢",0.0,Neutral
know?,0.0,Neutral
aq jyjykkkk,0.0,Neutral
Atuh in Tincak Beheng Na Dak Tonjok Dadana,0.0,Neutral
just admit instead of in prison,0.0,Neutral
The son of the kayahh ngab,0.0,Neutral
indeed the more crazy life now,-0.04999999999999999,Negative
This is the perpetrator,0.0,Neutral
"Ma'am, please help, hopefully you will always be healthy 🙏🙏",0.5,Positive
Baturan he knows ie,0.0,Neutral
"Oh God is evil, it's a guy",-1.0,Negative
This is your army,0.0,Neutral
I have to be crowded so that it is really in the process of the netizens to keep the guard,0.2,Positive
"Here, Mr. Abangabangan",0.0,Neutral
"I just want to know now that our regent's attitude will be how this is the Cicing Cicing Teh, because the people will not be too much.",0.2,Positive
Emphasize ma'am,0.0,Neutral
"the account is also min, in the sabotage of his ex -girlfriend 🙏🏻 Please help in the report guys",0.0,Neutral
screaming,0.0,Neutral
I know the contents of your brain,0.0,Neutral
"Help repost, sorry for the girl 🥺😥",-0.5,Negative
This brother,0.0,Neutral
Naon Ie,0.0,Neutral
Not finished Fikri,0.0,Neutral
you have money you have power,0.0,Neutral
here is the ACC SI ALWI,0.0,Neutral
"complete, bang l",0.1,Positive
"guard until got, don't wait for the viral first ma'am!",0.3125,Positive
Do you know this yet?,0.0,Neutral
Ngwri,0.0,Neutral
This is,0.0,Neutral
Pick out hotman ... 🔥🔥🔥🔥 Ask for help to ma'am too ..,0.0,Neutral
Ade²an you are very brown,0.2,Positive
Watch out,0.0,Neutral
friends u,0.0,Neutral
Innalilahi,0.0,Neutral
the same case? 🥲,0.0,Neutral
"Da nu hade maneh, horrifying the era of the quantity of Aredan merenny",-0.9,Negative
nitip buy fried food ... there is a new spectacle,0.13636363636363635,Positive
The mall is mall,0.0,Neutral
A already viral,0.0,Neutral
Severe severe bet,0.0,Neutral
"Tired, why the people",-0.4,Negative
TKUT YA NADD,0.0,Neutral
Honestly Bae Dam,0.6,Positive
"Deh nu hade ... nu macem ""in gibas bae",0.0,Neutral
Infooo Mazzeee,0.0,Neutral
Want to be surprised but this is Pandeglang,0.1,Positive
h,0.0,Neutral
h,0.0,Neutral
h,0.0,Neutral
h,0.0,Neutral
h,0.0,Neutral
h,0.0,Neutral
h,0.0,Neutral
h,0.0,Neutral
h,0.0,Neutral
h,0.0,Neutral
h,0.0,Neutral
h,0.0,Neutral
h,0.0,Neutral
h,0.0,Neutral
h,0.0,Neutral
"The son of the former head of DLH but his father died, I think he also wanted to be sentenced to death",0.0,Neutral
"Astagfirullah, hopefully the perpetrators will get a fair reply. But is it possible to see the trial so 😥",0.35,Positive
social justice for those who have money and authority,0.03333333333333333,Positive
"If there is evidence, why is G processed? Is there an envelope, sir? Surely the old people throw children with good names but their behavior👎🏻👎🏻👎🏻 all the parents protect the wrong child. Very sad",0.02999999999999996,Positive
"the same as BGD when reporting to the National Commission for Women's and Child Protection in Pandeglang only found it once and then there is no clarity that ultimately must be byr lawyer on the grounds that it can be deliberated on the report because I can't be discussed the MK asking for help, I don't understand anymore, I don't know anymore. The problem is 😢😢😢",0.0,Neutral
It turned out that the former son of an official. Just can still be in power ... !!!,0.0,Neutral
"Don't be quiet, help the opponent, we are with the victim!",-0.04687500000000001,Negative
"Here must be viral first and then in Tanggepin😂 yeah you guys are also psti, why do I have a viral viral, then there is justice, you don't need to know for sure you also know",0.375,Positive
"It is better if you speak sensitive to think again. Victims can read your comments, and be offended, more depressed, and so on. At least if we can't help, don't make the atmosphere worse.",0.08,Positive
Ordinary dating case? Wkwkwk ordinary dating where there is a vocabulary of the mother's mother ... especially until it is recorded and made terror material to the victim for years and now the family. Where is Haduuu usually? Maybe for his family ordinary because it's already a habit,-0.17916666666666667,Negative
"Like asking for money too, if not given ngancem want to spread the video. It's really surprised how bad behavior can be bought up with him.",-0.29999999999999993,Negative
Motivation to move on? Where is the meaning? Sorry ? Peace ? Then what is the relationship between Kejari by providing motivation outside of its realm?,-0.25,Negative
"the unhealthy is the red plate, the more crazy law enforcement is embarrassed ...",-0.125,Negative
Continue to fight ... do not be afraid if intimidated ... the opposite ... alfatihah for you & your family to be given justice as fairly as it,0.033333333333333326,Positive
"Again playing physically hehehe like that, man if you get angry while playing physically?",-0.16666666666666666,Negative
"seen from the sis woman or victim, bro. Read again from the beginning to the end",-0.07500000000000001,Negative
"Astagfirullah, may Allah give a reward as fairly as fair in the world and the hereafter for the perpetrators or families of the perpetrators who cover the chronology of the truth .. Aamiin 🤲",0.7,Positive
The old man is the former official. No wonder for processing the perpetrators,0.05,Positive
