media,user_name,mention_name,day,like_comment,comment,cont_of_reply,reply_comment_name,username_reply,comment_en,Polarity,Analysis,emotion
infopandeglang,dony_ferdianto,@kejaripandeglang,2 hari,160,"TOLONG KLARIFIKASI MENGENAI OKNUM JAKSA Nanindya Nataningrum, SH YANG MENURUT THREAD TWITTER BERKALI KALI MENGGIRING KORBAN BUAT MEMAAFKAN PELAKU DAN MENGIKHLASKAN PELECEHAN SEKSUAL YANG DI ALAMINYA. SE BOBROK ITU KAH HUKUM DI PANDEGLANG?",17,,,"Please clarify the person of the prosecutor Nanindya Nataningrum, SH who according to the Twitter thread repeatedly led the victim to forgive the perpetrators and let the sexual harassment in their natural. Is that dilapidated by the law in Pandeglang?",0.175,Positive,disgust
infoserang,iamfaxx,,1 hari,84,Tegakan KEADILAN !!!! MANA KEADILAN SOSIAL BAGI SELURUH RAKYAT INDONESIA???,14,,,Standing for justice !!!! Where is the social justice for all Indonesian people ???,0.033333333,Positive,trust
infopandeglang,tegarpnca46,@irnadimyati,2 hari,5,h,14,,,h,0.0,Neutral,anger
infopandeglang,tegarpnca46,@irnadimyati,2 hari,5,h,14,,,h,0.0,Neutral,anticipation
infopandeglang,fitri.handayani05_,,2 hari,32,Pengen tau anaknya siapa sih ni orang sampe sidang pertama dan kluarga korban pada enggak boleh hadir bahkan dpet intimidasi.,13,,,Want to know who his son is the person until the first trial and the victim's family is not allowed to attend even the DPET intimidation.,0.0875,Positive,fear
infopandeglang,lisnaryu,@alealwiii,2 hari,22,Pelakunya Alwi Husen Maolana D3 Akuntansi 2020 Untirta,13,,,The culprit Alwi Husen Maolana D3 Accounting 2020 Untirta,0.0,Neutral,positive
infopandeglang,fseptiansputra,,2 hari,15,"Alwi husen maolana, ngerakeun.",13,,,"Alwi Husen Maolana, Ngerakpeun.",0.0,Neutral,joy
infopandeglang,putrimey21_,@humaspoldabanten,2 hari,29,Korban Di tolak di persidangan gara2 sodara nya polisi kah? gila gila nya,12,,,The victim was rejected at the trial because of the police? crazy crazy,-0.425,Negative,positive
infopandeglang,apriliantideva,@irnadimyati,2 hari,19,"Kenapa soal kasus kaya gini selalu di remehkan? , yg kemaren aja anggota dpr cuma 5 bulan tahanan. Kasus yang sekarang dimainkan. Mana keadilan kota pandeglang yg bisa melindungan perempuan dan anak muda? Tidak adakah? Karna mereka memiliki banyak uang dan titel????",12,,,"Why is the case like this always underestimated? , just yesterday, members of the DPR were only 5 months of detainees. The current case is played. Where is Pandeglang City justice that can protect women and young people? Isn't there any? Because they have a lot of money and titles ????",0.033333333,Positive,trust
infoserang,abdurrahman_ghofiqi,,1 hari,17,Cek story saya ada info pelaku,12,,,Check my story there is information from the perpetrators,0.0,Neutral,positive
infopandeglang,d.daeseaa,,2 hari,110,"masih sliweran ie pelakuna cenah anak pejabat, CENAH NYAHH. di twitter tercantum nomor hp si alwi ale bajingan, pas di cek getcont na cnh mah anak sipil, aya nu ngecek di dikti cenah anak akuntansi. ramekeun di twitter dak, udah di RT juga sama partai socmed, bantuan yu bantuan",11,,,"Still Sliweran Ie Player Cenah Children of Officials, Cenah Nyahh. On Twitter, the cellphone number of Si Alwi Ale Bajingan was listed, when I was checked, Cnh Cnh, a civilian child, Aya nu checked at the Dikti Cenah Anak Accounting. Ramekeun on Twitter DAK, already in the RT is also the same as the Socmed Party, Yu Help assistance",0.0,Neutral,disgust
infopandeglang,fandiadc,,2 hari,269,"Oknum jaksa pandeglang udah disogok. Susah buat nuntut keadilan, disitu duit yang berbicara. Mungkin kasusnya harus diviralin dulu biar kebongkar semuanya sampai borok oknum2nya juga.",10,,,"Pandeglang Prosecutors have been bribed. It's hard to demand justice, there is the money that speaks. Maybe the case must be divided first so that everything is to uncover until ulcers the elements too.",-0.020833333,Negative,negative
infoserang,mfdzfrds24_,,1 hari,162,"fyi bapaknya pelaku udh ngga ada (meninggal), mantan pejabat kepala dinas Lingkungan hidup pandeglang.",8,,,"Fyi his father did not exist (died), former head of the Pandeglang Environment Agency.",0.0,Neutral,anger
infopandeglang,yama_nurrahmat21,@hotmanparisofficial,2 hari,34,"Nyerang mental, nyerang fisik 😢😢 tolong bang",8,,,"Mental attack, attack physically 😢😢 Please Bang",-0.05,Negative,anticipation
infopandeglang,mira.dnaa,@alealwiii,2 hari,8,malu malu in ajeeee nihhhh,8,,,embarrassed in ajeeeeeeeeeee,0.0,Neutral,fear
infopandeglang,anangma.ruf_,@dery_mubarok,2 hari,0,tolong klarifikasi,8,,,"Clarify, please",0.0,Neutral,negative
infopandeglang,riobagussatrio,@zatturaa_,2 hari,0,istigfar de yallah jangan gtu ah,8,,,Istigfar de yallah don't,0.0,Neutral,surprise
infopandeglang,vinsideee,,1 hari,18,Bawa foto lakinya ke baduy atau ke saketi. Do you know kan maksud gue ?,7,,,"Bring a photo of the laky to Baduy or to Saketi. Do you know, I mean?",-0.3125,Negative,anger
infoserang,tanwiruljojo,@alealwiii,1 hari,11,Yg mau mampir ke instagram cowonya kepada netizen waktu dan tempat di persilahkan,7,,,Who want to stop by the Instagram of the cow to netizens time and place is invited,-0.133333333,Negative,disgust
infoserang,ultramilknotultramen,,1 hari,11,Info gebugin alwi,7,,,Info Gebugin Alwi,0.0,Neutral,fear
netizenserang,rey_adii,,1 hari,4,Cobaa ig pelaku mana min mau silahturahmi,7,,,"Try IG actor, Min, Min, want to be friendly",0.375,Positive,negative
infopandeglang,akhmadmldn,,2 hari,1,"Tolong min kasih warning, beberapa pasti ada yg ke trigger",7,,,"Please, please give a warning, some must have been to the trigger",0.0,Neutral,sadness
infoserang,vivi_avrily,,1 hari,115,Jaksa pandeglang pelindung pemerkosaan 😂,6,,,Prosecutor Pandeglang Protector Rape 😂,0.0,Neutral,anger
infopandeglang,sofiamakeup.organizer_,,2 hari,90,Kejari Pandeglang malu maluin 😢😢 Yang udh aja udh gaada wibawa nya samasekali ya ibu Kejari ini 👏👏 yuk viralkan aja lah terlanjur yang udh aja udah banyak banget kasus pemerkosaan di Pandeglang ihh sebellll,6,,,"Kejari Pandeglang is embarrassed 😢😢 who has already been unworthy of the extent of this time, this is a mom, let's go viral.",0.0,Neutral,disgust
infopandeglang,ira_spyh,,2 hari,72,"Hukum bisa berjalan dengan baik jika aparat penegak hukum (kepolisian, jaksa, penasihat hukum, hakim) bisa melaksanakan tanggunjawabnya dengan baik dalam penegakan hukum. Ini ko Jaksanya tidak punya perspektif korban? Saya yakin beliau paham betul soal victimologi korban ko tidak diterapkan? Jangan sampe kekuasaan menggelapkan jalannya keadilan. Korban adalah seorang perempuan, ko gampang jaksanya menghasut suruh memaafkan? Bagaimana jika itu terjadi kekeluarganya. Apa beliau tidak tahu trauma berkepanjngan seperti apa yng nantinya akan dirasakan korban? Tolong dibantu hakhak korban mendapatkan perlindungan, keselamatan mental, privasi korban.",6,,,"The law can go well if law enforcement officials (police, prosecutors, legal counsels, judges) can carry out their responsibilities well in law enforcement. Is this a prosecutor has no perspective of the victim? I am sure he understands very well about Victimology of victims not applied? Do not until the power to embezzle the course of justice. The victim is a woman, how easy the prosecutor is inciting forgiven? What if it happens to the family. Does he not know what kind of trauma will be felt by the victim? Please help the victim's rights to get protection, mental safety, victim's privacy.",0.132575758,Positive,fear
infoserang,chen.ling23,@hotmanparisofficial,1 hari,28,Colek bang mohon di bantu,6,,,"Picking up, please help",0.0,Neutral,negative
infoserang,cuvider_,,1 hari,11,Harus di up ini mah.. hati2 buat para pria di luar sana dengan hormon endorfin kebanyakan efek nonton film biru kuning ijo bisa gini.. cukup di konsumsi tidak untuk di sebarkan ya..😂,6,,,Must be up this mah .. be careful for men out there with endorphin hormones most effects of watching blue yellow blue films can be like this ... enough to be consumed not to be distributed huh..😂,0.066666667,Positive,sadness
netizenserang,mfrhnn0,,1 hari,9,Gedeg kite mh ngebacane min ape maning jereh kejaksaane malah nyeleweng ore gelem open kurang kenceng kayane ya fuluse😂,6,,,Gedeg kite mh ngebacane min ape maning lear the prosecutor's prosecutor instead of gathering ore gemem open not fast kayane ya fulus😂,-0.05,Negative,anticipation
infoserang,iki2gd,,1 hari,5,Coba spill org tua pelaku yg ktanya eks pejabat,6,,,Try the spill of the old people who are the former officials,0.05,Positive,fear
infopandeglang,lindahutapia,@iingandrisupriadi_88,2 hari,4,"Tanpa mengurangi rasa hormat, tolong pak dewan bantu kami masyarakat utk menyampaikan kasus ini pada ibu Bupati & pihak yg berwajib. Semoga kasus ini bisa ditangani seadiladilnya. Haturnuhun.",6,,,"Without reducing respect, please help the council help us the community to convey this case to the regent & the authorities. Hopefully this case can be handled as fairly as possible. Thank you.",0.0,Neutral,joy
infopandeglang,nadyaanalf,@andreazalf,2 hari,3,Kalo masih suka seblak jan suka jajawaraan ya ga dot,6,,,"If you still like it, Jan likes Jajawa, you don't dot",0.0,Neutral,positive
infopandeglang,adenalhusein,,2 hari,2,Ngeriii amat leee,6,,,Horrified very leee,0.2,Positive,surprise
infopandeglang,andhika_g,@hotmanparisofficial,2 hari,1,h,6,,,h,0.0,Neutral,trust
infopandeglang,andhika_g,@hotmanparisofficial,2 hari,1,h,6,,,h,0.0,Neutral,joy
infoserang,anangma.ruf_,,1 hari,0,"Gondrong: Lu punya duit lu punya kuasa, tapi buat gue ngga nyet",6,,,"Gondrong: You have your money, you have power, but for me it's not Nyet",0.0,Neutral,positive
infopandeglang,riniriyaw,,1 hari,0,Mamam tu 6 taun,6,,,Mamam tu 6 years,0.0,Neutral,trust
infopandeglang,frhnmlnaaa,@rezahaeryadi29,2 hari,0,Ga bahaya ta,6,,,Not dangerous ta,0.3,Positive,anticipation
infopandeglang,forum_mahasiswa_cibitung,@irnadimyati,2 hari,35,"Mun ibu te sampe menyatakan sikap atau merespon soal kasus inimah keterlaluan syekali. Dan untuk segera klarifikasi. Jangan sampai masyarakat yg sudah mengapresiasi kinerja ibu selama ini dengan baik, jadi menurun",5,,,"Mun Ibu Te Sampe stated his attitude or responded to the case of this outrageous Sheasali. And to immediately clarify. Do not let people who have appreciated the performance of the mother so far, so it decreases",-0.233333333,Negative,positive
infoserang,erniiyy_,,1 hari,33,"Alwi, perlu kamu ketahui bahwa sanksi sosial lebih kejam dari putusan sidang dipengadilan.",5,,,"Alwi, you need to know that social sanctions are more cruel than the decision of the trial in court.",-0.155555556,Negative,trust
infopandeglang,ichanisha_02,@dr.richard_lee,2 hari,21,"undang ini kali Dok jgn artis terus. mahasiswa anda? bu warga anda sedang tidak baik² , kepada YTH. Wakit Rakyat.",5,,,"This invitation is the doc not the artist continues. your student? Mom, your citizens are not good, Dear. People's Wakit.",-0.35,Negative,anger
infopandeglang,sgputri_,,2 hari,17,Spill aja foto pelakunya sekalian biar kena sanksi sosial!!,5,,,Just spill the perpetrators of the culprit so that they are subject to social sanctions !!,-0.057291667,Negative,disgust
infopandeglang,vitosky_,@alealwiii,2 hari,8,cekidot,5,,,Check,0.0,Neutral,negative
infoserang,rchzknsez,@alealwiii,1 hari,6,Min nama akun Ig cwo nya nih min anak Untirta teknik sipil 🔥,5,,,"Min, the name of the IG CWO account, min.",0.0,Neutral,sadness
infoserang,iif_funky,,1 hari,5,Kabarnya tersangka tidak hadir dalam persidangan 🤔,5,,,Reportedly the suspect did not attend the trial 🤔,0.0,Neutral,negative
infopandeglang,thamaraaraa,,2 hari,5,Gua tau si ini siapa,5,,,I know who this is,0.0,Neutral,trust
infopandeglang,1indahputri,@adderosiandika,1 hari,4,Kawal terus ya ibuuu 😢🙏,5,,,"Continue to guard, ikauu 😢🙏",0.0,Neutral,negative
infopandeglang,ichal.fr,@infopandeglang,2 hari,4,"sampein ke pilih mau sama siapa bro, sasana tinju kita ada meskipun ga se proper tmpat para atlit mau ama King atau",5,,,"until you choose who you want to be with bro, our boxing is there even though it is not as a proper to the athletes, you want to king or",0.0,Neutral,positive
infopandeglang,alwii.hkm,@alealwiii,2 hari,4,"mngknna ulah songong jadi jelema mah lurr, kdu rumasa 😂",5,,,"The act of Songong's actions becomes a mah lurr, KDU Ratasa 😂",0.0,Neutral,trust
infoserang,khong,,1 hari,2,"keluarga ini punya ""power"" dipandeglang, mankanya kebal dan berani intimidasi. ngerii..ngerii",5,,,"This family has a ""power"" in the mountains, it will be immune and dare to intimidate. horrified..ngiii",0.0,Neutral,anger
infopandeglang,calotes_19,,2 hari,1,Ngerasa anak pejabat jg boga power ieu budak,5,,,Feeling the son of officials also boga power Ieu slave,0.0,Neutral,fear
infoserang,amntnnaulaa,@ikaap16_,1 hari,0,ni anjir,5,,,Ni Anjir,0.0,Neutral,negative
infoserang,lindalstr00,,1 hari,0,"Status mahasiswa kelakuan kaya orang gak sekolah, pengen jambak sampe gundul",5,,,"The status of students behaving rich like people not school, want to take a bare",0.2125,Positive,sadness
infopandeglang,1indahputri,@adderosiandika,2 hari,0,😢😢,5,,,😢😢,0.0,Neutral,anger
infopandeglang,ratuhannyy,,2 hari,0,Kandaa Ale ko masi santai aja?🤣 ayoo kluarkan lah wujud mu kanda Ale ale🫰🏻,5,,,"Kandaa Ale is still relaxing? 🤣 Ayoo, let me take you the form of your Kanda Ale🫰🏻",0.0,Neutral,disgust
infopandeglang,_diditbocor,@imanzanatul91,2 hari,0,"Keadilan bakalan menang, mong!",5,,,"Justice will win, Mong!",1.0,Positive,fear
infoserang,alfasakinatin_najfa,@mciserangofficial,1 hari,0,h,5,,,h,0.0,Neutral,negative
bantenraya,vla_dias_is,@rizalnyapakez,1 hari,0,h,5,,,h,0.0,Neutral,sadness
infoserang,umar_un920,,1 hari,70,"Dinasti oh dinasti, pentolannya dah dipenjara / meninggal pun kuasanya masih ada..",4,,,"Dynasty OH Dynasty, the pins have been jailed / died even the power is still there ..",0.0,Neutral,anticipation
infopandeglang,winddyuliansyaaa,,2 hari,54,"Hayoloh viral, lagian sosoan mam sangu keneh ge ngancem ngancem sagala macem ka anak batur😭🤣",4,,,"Hayoloh viral, anyways, sosoan mam sangu keneh ge guy ngancem ngancem sagala macem ka batur children >>",0.0,Neutral,joy
infopandeglang,dwisamsulrizal40,@alealwiii,2 hari,34,"jika benar memang anda adalah pelakunya, anda adalah manusia yg tidak menghargai ibu anda sendiri sebagai wanita",4,,,"If it's true that you are the culprit, you are a human who does not respect your own mother as a woman",0.316666667,Positive,positive
infoserang,jmldnarofei_,@untirta_official,1 hari,28,"Trending bgt tu thread, katanya sih pelakunya mahasiswa",4,,,"Trending is really a thread, he said the culprit is a student",0.2,Positive,anger
netizenserang,bayu_adhari99,,1 hari,16,Hukum tidak akan berjalan kalo ngga ada uang makan tai emang penegak hukum nya 🖕🖕,4,,,"The law will not run if there is no tai eating allowance, the law enforcement 🖕🖕",0.0,Neutral,negative
bantenraya,rosa.ats03,,1 hari,7,Udh viral baru di tangkep,4,,,Udh new viral in Tangkep,0.136363636,Positive,anticipation
infopandeglang,viktory_sofians,,1 hari,5,Bang jangan takut untuk berbicara bahasa Sunda Pandeglang,4,,,"Bang, don't be afraid to speak Sundanese Pandeglang",-0.6,Negative,joy
infopandeglang,ale.fth,,2 hari,5,"Mau komen, tapi takut di sangka pelaku🤣",4,,,"Want to comment, but afraid of the perpetrators.",-0.6,Negative,negative
netizenserang,richvodkaaaa,@alealwiii,1 hari,4,tanggung jawab lah minimal.. Bio sama kelakuan jomplang banget,4,,,responsibility is minimal .. bio and very well -determined behavior,0.05,Positive,positive
infoserang,al.dafff,,1 hari,3,SAMPAH,4,,,RUBBISH,0.0,Neutral,sadness
infoserang,rezasupriatna_,,1 hari,3,Pandeglang lagi pandeglang lagi lamaa lama dapet piagam penghaargaan ini mah,4,,,Pandeglang is again Pandeglang for a long time to get this award charter,-0.05,Negative,trust
infopandeglang,mahsukadia,,2 hari,2,cowo beban,4,,,guy burden,0.0,Neutral,trust
infoserang,_qihhf,,1 hari,1,beraninya sm cwek.,4,,,How dare you go.,0.0,Neutral,positive
infoserang,radenfahrizal,,1 hari,1,IG nya si Baji*** Ban** kaleng gak ada apa?,4,,,The IG is the Baji *** tire ** what can you do?,0.0,Neutral,positive
infopandeglang,alanbudip,@alditaher.official,2 hari,1,Tolong bang,4,,,"Please, bro",0.0,Neutral,anger
infopandeglang,dorikpratama,,2 hari,1,Hih nyah,4,,,Hih nyah,0.0,Neutral,fear
infoserang,khaiimaan,,1 hari,0,"Wah ALWI siap2 nerima sanksi sosial dari pelampiasan netizen di Banten khususnya, selamat ya buat kamu 👏🏻",4,,,"Wow, Alwi is ready to receive social sanctions from the venting of netizens in Banten in particular, congratulations for you 👏🏻",0.125,Positive,negative
infopandeglang,kaataanyaaa,@_antiair,1 hari,0,aya wartawan PW,4,,,Aya PW reporter,0.0,Neutral,sadness
infopandeglang,1990aarchives,@f1krimuhamad,2 hari,0,waduh nek temen dlu mabar kita ko jadi gini ya,4,,,"Wow, my friend is a friend, how come we are like this",0.1,Positive,positive
infoserang,agasmlna,@ahmadrifai406,1 hari,0,h,4,,,h,0.0,Neutral,disgust
infoserang,melody.amaliya,,1 hari,153,"Belakangan ini pandeglang serang lagi viral terus nih, yg perempuan korupsi buat modal skincare dan yg laki"" punya bini banyak suka hiburan malam. Maluu, semoga Allah murkanya sama pelaku aja amin",3,,,"Lately, Pandeglang attacks again, which is a corrupt woman for skincare capital and the male ""has a lot of people who like night entertainment. Shame, may Allah mukannya with the perpetrators Amen",-0.266666667,Negative,negative
infoserang,arululm,,1 hari,85,Manusia yang dinafkahi dari duit haram hasilnya melebihi setan.,3,,,Humans who are supported by illegal money are more than demons.,0.0,Neutral,sadness
infoserang,dimaspashaofficial,@untirta_official,1 hari,60,"Saya Tunggu Klarifikasi dari Rektor , krn ada nama kampus disitu, slide terakhir.. Terimakasih Netizen yg budiman",3,,,"I am waiting for clarification from the Chancellor, because there is a campus name there, the last slide .. Thank you dear netizens",0.0,Neutral,trust
infopandeglang,mazmiat,,1 hari,21,"katanya jaksa sm terdakwa ko online ya, masih pandemi kah",3,,,"he said the prosecutor's prosecutor was the defendant online, yes, still Pandemi",0.0,Neutral,positive
infopandeglang,lalarfy06,,2 hari,8,"Awww jadi hayang nele Bentukan Lalakina, karunya teu payu ka awewe Maksa nitah cewe na bertahan, Ngacaa atu geus goreng benget goreng Pamake, Komo baru Jeung goreng eusi dompet mah, Ulah awewena NU titah bunuh diri, dia we Paeh dabeweh gunaan wkwkwk Karunyaaaaa, Lebih aneh Kana pengadilan anu teu narima laporana",3,,,"Awww so I was formed by Lalakina, because of Teu Payu Ka Awewe, I was not a girl, Ngaca or fried fried, fried in pamake, new Komo, fried, fried, the mah was a suicide, he was we dabew dabeweh using the time strange kana court anu teu narima laporana",0.162121212,Positive,trust
infoserang,nabe_wong,,1 hari,4,Pelaku anak pejabat apa min..,3,,,Actors of Children's Officials Min ..,0.0,Neutral,positive
infopandeglang,ilhamali.rzqi,,2 hari,4,Anak pejabat😮,3,,,Official son😮,0.0,Neutral,trust
infoserang,yuandaranis,,1 hari,3,". Ga bsa gw bayangin kalo korban itu adik gw.. Gw sih Nekat samperin kerumahnya, bawa golok atau pisau daging sabi. Gw mau Tangan atau kakinya aja sih buat pajangan di kamar. Sama pelernya buat gantungan kalung gw",3,,,". I can't imagine if the victim is my sister ... I was determined to samperin to his house, bring a machete or a sabi meat knife. I just want his hands or legs to display in the room. The same peler for my necklace hanger",-0.0375,Negative,anger
infoserang,faraashania,,1 hari,3,"𝐆𝐮𝐲𝐬 𝐛𝐨𝐥𝐞𝐡 𝐭𝐨𝐥𝐨𝐧𝐠 𝐛𝐚𝐧𝐭𝐮 𝐬𝐩𝐢𝐥𝐥 𝐩𝐫𝐨𝐝𝐮𝐤 𝐩𝐞𝐧𝐮𝐫𝐮𝐧 𝐛𝐛,𝐭𝐚𝐩𝐢 𝐲𝐚𝐧𝐠 𝐚𝐦𝐚𝐧 ,𝐛𝐞𝐫𝐤𝐮𝐚𝐥𝐢𝐭𝐚𝐬,𝐭𝐚𝐧𝐩𝐚 𝐞𝐟𝐞𝐤 𝐬𝐚𝐦𝐩𝐢𝐧𝐠 .𝐬𝐨𝐚𝐥𝐧𝐲𝐚 𝐚𝐤𝐮 𝐮𝐝𝐚𝐡 𝐜𝐨𝐛𝐚 𝐬𝐞𝐠𝐚𝐥𝐚 𝐦𝐞𝐫𝐤 𝐭𝐞𝐭𝐚𝐩 𝐚𝐣𝐚 😣😣𝐛𝐛 𝐦𝐚𝐬𝐢𝐡 𝐭𝐞𝐭𝐚𝐩 😔𝐠𝐚𝐤 𝐭𝐮𝐫𝐮𝐧-𝐭𝐮𝐫𝐮𝐧 𝐦𝐨𝐡𝐨𝐧 𝐢𝐧𝐟𝐨𝐧𝐲𝐚 𝐲𝐚𝐡...",3,,,"𝐆𝐮𝐲𝐬 𝐛𝐨𝐥𝐞𝐡 𝐭𝐨𝐥𝐨𝐧𝐠 𝐛𝐚𝐧𝐭𝐮 𝐬𝐩𝐢𝐥𝐥 𝐩𝐫𝐨𝐝𝐮𝐤 𝐩𝐞𝐧𝐮𝐫𝐮𝐧 𝐛𝐛 𝐛𝐛 𝐛𝐛 𝐛𝐛 𝐚𝐦𝐚𝐧 𝐚𝐦𝐚𝐧, 𝐛𝐞𝐫𝐤𝐮𝐚𝐥𝐢𝐭𝐚𝐬, 𝐛𝐞𝐫𝐤𝐮𝐚𝐥𝐢𝐭𝐚𝐬 𝐞𝐟𝐞𝐤 𝐬𝐚𝐦𝐩𝐢𝐧𝐠 𝐬𝐚𝐦𝐩𝐢𝐧𝐠 𝐬𝐚𝐦𝐩𝐢𝐧𝐠 𝐚𝐤𝐮 𝐮𝐝𝐚𝐡 𝐬𝐞𝐠𝐚𝐥𝐚 𝐦𝐞𝐫𝐤 𝐚𝐣𝐚 😣😣𝐛𝐛 😔𝐠𝐚𝐤 𝐭𝐮𝐫𝐮𝐧 𝐭𝐮𝐫𝐮𝐧 𝐭𝐮𝐫𝐮𝐧 𝐭𝐮𝐫𝐮𝐧 𝐭𝐮𝐫𝐮𝐧 𝐭𝐮𝐫𝐮𝐧 𝐭𝐮𝐫𝐮𝐧 𝐭𝐮𝐫𝐮𝐧 𝐦𝐨𝐡𝐨𝐧 𝐲𝐚𝐡 ...",0.0,Neutral,fear
infoserang,mayadwiims,@lisyarizki,1 hari,2,"Nih guys berita yg lagi trending di twitter, mahasiwa untirta** pelaku dan korban nya",3,,,"Here guys the news that is trending on Twitter, students untirta ** the perpetrators and victims",0.0,Neutral,negative
infopandeglang,asepsyahrulm,@solihahaimaryati,2 hari,2,"Bu tolonggh ini ada diskriminasi kaya gini, harus turun tangan nih Bu 😢",3,,,"Ma'am, please have this discrimination like this, you have to intervene, ma'am 😢",0.0,Neutral,sadness
infoserang,hofifatunnatikoh_,@alealwiii,1 hari,2,h,3,,,h,0.0,Neutral,anger
infopandeglang,imammujahidzulkarnain,,1 hari,1,Jeng saha eta duit samilieur na?,3,,,Jeng Saha Eta Money Samilieur Na?,0.0,Neutral,fear
infopandeglang,sofinovtagst,@putriinraml,2 hari,1,h,3,,,h,0.0,Neutral,negative
infoserang,adenrkoswara,@papazareen,1 hari,0,eta kumaha aduuhh,3,,,Eta Kumaha Ouch,0.0,Neutral,negative
infoserang,_adtyarmdhn19,@anggaok_,12 jam,0,parah bre lu mh anak orang,3,,,bad Bre lu mh son of someone,-0.7,Negative,anger
infoserang,marianairlestari,,1 hari,0,"Ada ya anak pejabat tampilannya jamet begitu banyak tingkah, eh astaghfirullahhh😭🙏",3,,,"There is a child who looks like a jamet so much behavior, eh astaghfirullahhhh cription",0.2,Positive,fear
infoserang,rifamn,,1 hari,0,Baca lengkapnya di twitter sejak kecil sudah c*b*l ngeri amattt,3,,,"Read the full on Twitter since childhood, C*B*l was horrified",0.35,Positive,negative
infoserang,hello.arip,@kemalhendri,1 hari,0,Gila sih mal ini,3,,,This mall is crazy,-0.6,Negative,sadness
infoserang,dimasfaudi17,@padeelll,1 hari,0,gmana nihhh guysss?,3,,,How do you guys?,0.0,Neutral,negative
infoserang,tbfurqonn,,1 hari,0,Pendidikan kaya orang iya lo ni brooo klakuan atah🤣🤣,3,,,"Rich education, yes, bro, brooo",0.375,Positive,fear
bantenraya,alung_xixi,@heruhermawaann,1 hari,0,hati hati ya,3,,,"Be careful, ok",0.2,Positive,positive
infopandeglang,dunand_id,,2 hari,0,Anak pejabat nih kayaknya hmm,3,,,"This is an official, hmm, hmm",0.0,Neutral,trust
infopandeglang,cuzimclever,@blanche.castille,2 hari,0,udah mulai up kasusnya,3,,,already started up the case,0.0,Neutral,anger
